intervention_id,order_id,intervention_type,intervention_at,initiated_by,reason
INT-00050,O00825,DRIVER_REASSIGNMENT,2026-08-08T20:17:00,dispatch,slow_progress
INT-00051,O01094,CUSTOMER_CREDIT,2026-08-05T13:47:30.215231,support,support_resolution
INT-00052,O00022,DRIVER_REASSIGNMENT,2026-08-26T11:55:00,dispatch,driver_unavailable
INT-00053,O00796,DRIVER_REASSIGNMENT,2026-08-25T12:20:00,dispatch,driver_unavailable
INT-00054,O01562,DRIVER_REASSIGNMENT,2026-08-15T11:44:00,dispatch,slow_progress
INT-00055,O00700,PRIORITY_DISPATCH,2026-08-04T12:36:00,operations,vip_customer
INT-00056,O00070,PRIORITY_DISPATCH,2026-08-26T21:22:00,operations,late_risk
INT-00057,O00203,DRIVER_REASSIGNMENT,2026-08-01T22:08:00,dispatch,slow_progress
INT-00058,O01286,DRIVER_REASSIGNMENT,2026-08-04T18:40:00,dispatch,driver_unavailable
INT-00059,O01518,PRIORITY_DISPATCH,2026-08-15T14:03:00,operations,vip_customer
INT-00060,O00241,RESTAURANT_CONTACT,2026-08-24T23:23:00,support,customer_escalation
INT-00061,O00492,DRIVER_REASSIGNMENT,2026-08-26T17:21:00,dispatch,driver_unavailable
INT-00062,O01247,DRIVER_REASSIGNMENT,2026-08-14T12:02:00,dispatch,capacity_rebalance
INT-00063,O00852,PRIORITY_DISPATCH,2026-08-08T14:11:00,operations,vip_customer
INT-00064,O00632,RESTAURANT_CONTACT,2026-08-14T18:51:00,support,status_stale
INT-00065,O01453,DRIVER_REASSIGNMENT,2026-08-15T20:53:00,dispatch,slow_progress
INT-00066,O01284,CUSTOMER_CREDIT,2026-08-12T22:04:48,support,service_recovery
INT-00067,O00473,CUSTOMER_CREDIT,2026-08-14T20:30:48,support,support_resolution
INT-00068,O00596,CUSTOMER_CREDIT,2026-08-08T13:29:06,support,service_recovery
INT-00069,O01598,DRIVER_REASSIGNMENT,2026-08-18T20:38:00,dispatch,capacity_rebalance
INT-00070,O01295,PRIORITY_DISPATCH,2026-08-15T17:17:00,operations,vip_customer
INT-00071,O01487,DRIVER_REASSIGNMENT,2026-08-05T22:02:00,dispatch,capacity_rebalance
INT-00072,O01240,RESTAURANT_CONTACT,2026-08-23T20:23:00,support,customer_escalation
INT-00073,O01591,DRIVER_REASSIGNMENT,2026-08-12T13:02:00,dispatch,capacity_rebalance
INT-00074,O00201,DRIVER_REASSIGNMENT,2026-08-12T19:35:00,dispatch,driver_unavailable
INT-00075,O00480,PRIORITY_DISPATCH,2026-08-03T19:31:00,operations,manual_ops_review
INT-00076,O00045,RESTAURANT_CONTACT,2026-08-14T13:29:00,support,status_stale
INT-00077,O00569,DRIVER_REASSIGNMENT,2026-08-13T14:23:00,dispatch,capacity_rebalance
INT-00078,O01001,DRIVER_REASSIGNMENT,2026-08-15T17:35:00,dispatch,driver_unavailable
INT-00079,O01213,DRIVER_REASSIGNMENT,2026-08-03T12:44:00,dispatch,driver_unavailable
INT-00080,O00091,RESTAURANT_CONTACT,2026-08-08T14:42:00,support,prep_delay
INT-00081,O00717,PRIORITY_DISPATCH,2026-08-21T17:08:00,operations,manual_ops_review
INT-00082,O00476,DRIVER_REASSIGNMENT,2026-08-04T18:47:00,dispatch,capacity_rebalance
INT-00083,O00268,RESTAURANT_CONTACT,2026-08-18T18:37:00,support,prep_delay
INT-00084,O01554,CUSTOMER_CREDIT,2026-08-03T23:21:48,support,support_resolution
INT-00085,O00317,DRIVER_REASSIGNMENT,2026-08-12T18:12:00,dispatch,driver_unavailable
INT-00086,O00452,PRIORITY_DISPATCH,2026-08-20T11:51:00,operations,vip_customer
INT-00087,O00506,CUSTOMER_CREDIT,2026-08-08T20:22:52.391855,support,late_delivery
INT-00088,O00693,PRIORITY_DISPATCH,2026-08-18T13:06:00,operations,late_risk
INT-00089,O01198,CUSTOMER_CREDIT,2026-08-25T19:18:36,support,late_delivery
INT-00090,O00054,RESTAURANT_CONTACT,2026-08-28T20:28:00,support,prep_delay
INT-00091,O01499,DRIVER_REASSIGNMENT,2026-08-07T20:21:00,dispatch,slow_progress
INT-00092,O00475,DRIVER_REASSIGNMENT,2026-08-11T19:51:00,dispatch,driver_unavailable
INT-00093,O00614,DRIVER_REASSIGNMENT,2026-08-12T22:42:00,dispatch,slow_progress
INT-00094,O01078,DRIVER_REASSIGNMENT,2026-08-25T21:18:00,dispatch,capacity_rebalance
INT-00095,O00553,RESTAURANT_CONTACT,2026-08-14T13:36:00,support,customer_escalation
INT-00096,O01058,CUSTOMER_CREDIT,2026-08-14T21:14:08.930801,support,late_delivery
INT-00097,O00860,PRIORITY_DISPATCH,2026-08-17T21:50:00,operations,late_risk
INT-00098,O00653,PRIORITY_DISPATCH,2026-08-10T17:48:00,operations,manual_ops_review
INT-00099,O00554,DRIVER_REASSIGNMENT,2026-08-06T18:25:00,dispatch,capacity_rebalance
INT-00100,O00588,DRIVER_REASSIGNMENT,2026-08-16T19:51:00,dispatch,driver_unavailable
INT-00101,O00094,DRIVER_REASSIGNMENT,2026-08-19T17:08:00,dispatch,capacity_rebalance
INT-00102,O00055,CUSTOMER_CREDIT,2026-08-16T14:12:48,support,support_resolution
INT-00103,O01020,PRIORITY_DISPATCH,2026-08-08T20:21:00,operations,late_risk
INT-00104,O00264,PRIORITY_DISPATCH,2026-08-23T19:40:00,operations,late_risk
INT-00105,O00141,RESTAURANT_CONTACT,2026-08-27T13:28:00,support,status_stale
INT-00106,O01217,RESTAURANT_CONTACT,2026-08-27T17:05:00,support,status_stale
INT-00107,O01331,DRIVER_REASSIGNMENT,2026-08-28T23:30:00,dispatch,slow_progress
INT-00108,O01267,CUSTOMER_CREDIT,2026-08-13T23:48:15.937529,support,service_recovery
INT-00109,O00915,CUSTOMER_CREDIT,2026-08-04T21:32:48,support,support_resolution
INT-00110,O01161,DRIVER_REASSIGNMENT,2026-08-07T13:02:00,dispatch,slow_progress
INT-00111,O01326,CUSTOMER_CREDIT,2026-08-23T15:13:48,support,service_recovery
INT-00112,O00530,PRIORITY_DISPATCH,2026-08-16T12:54:00,operations,vip_customer
INT-00113,O01151,PRIORITY_DISPATCH,2026-08-20T20:09:00,operations,manual_ops_review
INT-00114,O00517,RESTAURANT_CONTACT,2026-08-20T15:36:00,support,prep_delay
INT-00115,O00228,RESTAURANT_CONTACT,2026-08-07T13:06:00,support,status_stale
INT-00116,O00890,RESTAURANT_CONTACT,2026-08-25T19:33:00,support,customer_escalation
INT-00117,O01530,RESTAURANT_CONTACT,2026-08-28T13:57:00,support,prep_delay
INT-00118,O00828,CUSTOMER_CREDIT,2026-08-18T21:20:18,support,late_delivery
INT-00119,O00177,RESTAURANT_CONTACT,2026-08-02T12:25:00,support,status_stale
INT-00120,O01496,CUSTOMER_CREDIT,2026-08-04T00:13:18,support,late_delivery
INT-00121,O00115,DRIVER_REASSIGNMENT,2026-08-24T13:07:00,dispatch,slow_progress
INT-00122,O01122,RESTAURANT_CONTACT,2026-08-16T21:34:00,support,prep_delay
INT-00123,O00755,RESTAURANT_CONTACT,2026-08-24T20:29:00,support,status_stale
INT-00124,O01112,CUSTOMER_CREDIT,2026-08-13T01:02:06,support,service_recovery
INT-00125,O00543,RESTAURANT_CONTACT,2026-08-21T16:36:00,support,prep_delay
INT-00126,O01556,CUSTOMER_CREDIT,2026-08-20T17:26:48,support,support_resolution
INT-00127,O00954,DRIVER_REASSIGNMENT,2026-08-10T15:18:00,dispatch,slow_progress
INT-00128,O00287,RESTAURANT_CONTACT,2026-08-09T18:53:00,support,customer_escalation
INT-00129,O00412,PRIORITY_DISPATCH,2026-08-16T19:07:00,operations,vip_customer
INT-00130,O01205,DRIVER_REASSIGNMENT,2026-08-18T23:31:00,dispatch,capacity_rebalance
INT-00131,O01327,CUSTOMER_CREDIT,2026-08-18T23:44:18,support,late_delivery
INT-00132,O01281,DRIVER_REASSIGNMENT,2026-08-21T12:30:00,dispatch,slow_progress
INT-00133,O01072,RESTAURANT_CONTACT,2026-08-28T20:27:00,support,prep_delay
INT-00134,O00084,PRIORITY_DISPATCH,2026-08-07T20:35:00,operations,vip_customer
INT-00135,O01335,RESTAURANT_CONTACT,2026-08-21T18:56:00,support,customer_escalation
INT-00136,O01008,DRIVER_REASSIGNMENT,2026-08-02T15:49:00,dispatch,driver_unavailable
INT-00137,O01459,DRIVER_REASSIGNMENT,2026-08-04T18:57:00,dispatch,driver_unavailable
INT-00138,O00350,DRIVER_REASSIGNMENT,2026-08-07T20:13:00,dispatch,capacity_rebalance
INT-00139,O01192,PRIORITY_DISPATCH,2026-08-03T19:13:00,operations,late_risk
INT-00140,O00320,PRIORITY_DISPATCH,2026-08-13T12:24:00,operations,vip_customer
INT-00141,O00066,DRIVER_REASSIGNMENT,2026-08-13T17:32:00,dispatch,slow_progress
INT-00142,O01117,CUSTOMER_CREDIT,2026-08-01T19:45:36,support,support_resolution
INT-00143,O00757,PRIORITY_DISPATCH,2026-08-22T17:44:00,operations,late_risk
INT-00144,O00739,PRIORITY_DISPATCH,2026-08-13T16:50:00,operations,vip_customer
INT-00145,O00199,RESTAURANT_CONTACT,2026-08-15T17:50:00,support,prep_delay
INT-00146,O00853,DRIVER_REASSIGNMENT,2026-08-04T11:53:00,dispatch,driver_unavailable
INT-00147,O00298,DRIVER_REASSIGNMENT,2026-08-15T20:41:00,dispatch,capacity_rebalance
INT-00148,O00635,PRIORITY_DISPATCH,2026-08-21T14:20:00,operations,vip_customer
INT-00149,O00561,RESTAURANT_CONTACT,2026-08-18T22:11:00,support,customer_escalation
INT-00150,O00769,DRIVER_REASSIGNMENT,2026-08-10T13:04:00,dispatch,driver_unavailable
INT-00151,O00368,DRIVER_REASSIGNMENT,2026-08-17T00:04:00,dispatch,slow_progress
INT-00152,O00652,DRIVER_REASSIGNMENT,2026-08-17T19:28:00,dispatch,slow_progress
INT-00153,O00811,DRIVER_REASSIGNMENT,2026-08-25T17:34:00,dispatch,driver_unavailable
INT-00154,O00923,CUSTOMER_CREDIT,2026-08-28T23:33:48,support,service_recovery
INT-00155,O00174,PRIORITY_DISPATCH,2026-08-21T19:16:00,operations,vip_customer
INT-00156,O01336,DRIVER_REASSIGNMENT,2026-08-23T18:36:00,dispatch,capacity_rebalance
INT-00157,O00507,PRIORITY_DISPATCH,2026-08-17T20:28:00,operations,late_risk
INT-00158,O00727,RESTAURANT_CONTACT,2026-08-28T22:03:00,support,status_stale
INT-00159,O00749,PRIORITY_DISPATCH,2026-08-04T19:48:00,operations,late_risk
INT-00160,O00102,RESTAURANT_CONTACT,2026-08-11T16:56:00,support,customer_escalation
INT-00161,O00842,RESTAURANT_CONTACT,2026-08-26T13:17:00,support,customer_escalation
INT-00162,O00939,PRIORITY_DISPATCH,2026-08-18T11:50:00,operations,late_risk
INT-00163,O00142,DRIVER_REASSIGNMENT,2026-08-19T17:30:00,dispatch,capacity_rebalance
INT-00164,O00599,DRIVER_REASSIGNMENT,2026-08-23T00:19:00,dispatch,driver_unavailable
INT-00165,O01409,PRIORITY_DISPATCH,2026-08-16T17:20:00,operations,late_risk
INT-00166,O00776,RESTAURANT_CONTACT,2026-08-21T20:44:00,support,status_stale
INT-00167,O00028,RESTAURANT_CONTACT,2026-08-04T20:49:00,support,customer_escalation
INT-00168,O00721,CUSTOMER_CREDIT,2026-08-23T16:00:03.249046,support,late_delivery
INT-00169,O00654,CUSTOMER_CREDIT,2026-08-28T21:29:36,support,service_recovery
INT-00170,O00668,RESTAURANT_CONTACT,2026-08-09T18:35:00,support,prep_delay
INT-00171,O00544,DRIVER_REASSIGNMENT,2026-08-13T17:18:00,dispatch,driver_unavailable
INT-00172,O00951,DRIVER_REASSIGNMENT,2026-08-28T19:00:00,dispatch,slow_progress
INT-00173,O00835,DRIVER_REASSIGNMENT,2026-08-14T13:06:00,dispatch,slow_progress
INT-00174,O00338,RESTAURANT_CONTACT,2026-08-04T19:17:00,support,customer_escalation
INT-00175,O01557,DRIVER_REASSIGNMENT,2026-08-20T22:07:00,dispatch,driver_unavailable
INT-00176,O00767,DRIVER_REASSIGNMENT,2026-08-17T11:34:00,dispatch,slow_progress
INT-00177,O01132,RESTAURANT_CONTACT,2026-08-19T18:31:00,support,prep_delay
INT-00178,O00168,PRIORITY_DISPATCH,2026-08-12T19:11:00,operations,vip_customer
INT-00179,O00193,RESTAURANT_CONTACT,2026-08-11T18:11:00,support,prep_delay
INT-00180,O01401,RESTAURANT_CONTACT,2026-08-18T15:06:00,support,customer_escalation
INT-00181,O01181,PRIORITY_DISPATCH,2026-08-28T13:11:00,operations,vip_customer
INT-00182,O01471,CUSTOMER_CREDIT,2026-08-19T21:40:33.205772,support,service_recovery
INT-00183,O00871,RESTAURANT_CONTACT,2026-08-17T17:03:00,support,customer_escalation
INT-00184,O00619,RESTAURANT_CONTACT,2026-08-24T19:57:00,support,status_stale
INT-00185,O00079,PRIORITY_DISPATCH,2026-08-09T21:11:00,operations,manual_ops_review
INT-00186,O01139,PRIORITY_DISPATCH,2026-08-14T17:41:00,operations,vip_customer
INT-00187,O01347,DRIVER_REASSIGNMENT,2026-08-12T22:46:00,dispatch,slow_progress
INT-00188,O00611,RESTAURANT_CONTACT,2026-08-06T21:16:00,support,prep_delay
INT-00189,O00386,CUSTOMER_CREDIT,2026-08-11T14:09:14.265833,support,support_resolution
INT-00190,O00502,RESTAURANT_CONTACT,2026-08-21T20:25:00,support,prep_delay
INT-00191,O00078,CUSTOMER_CREDIT,2026-08-25T20:53:06,support,late_delivery
INT-00192,O00052,RESTAURANT_CONTACT,2026-08-24T17:30:00,support,customer_escalation
INT-00193,O01206,PRIORITY_DISPATCH,2026-08-17T14:39:00,operations,vip_customer
INT-00194,O00579,DRIVER_REASSIGNMENT,2026-08-14T12:48:00,dispatch,slow_progress
INT-00195,O00819,DRIVER_REASSIGNMENT,2026-08-12T19:02:00,dispatch,slow_progress
INT-00196,O00341,RESTAURANT_CONTACT,2026-08-24T13:53:00,support,status_stale
INT-00197,O00454,PRIORITY_DISPATCH,2026-08-19T22:06:00,operations,late_risk
INT-00198,O00140,DRIVER_REASSIGNMENT,2026-08-18T20:44:00,dispatch,capacity_rebalance
INT-00199,O00389,DRIVER_REASSIGNMENT,2026-08-08T13:56:00,dispatch,capacity_rebalance
INT-00200,O01356,RESTAURANT_CONTACT,2026-08-05T17:15:00,support,prep_delay
INT-00201,O00204,DRIVER_REASSIGNMENT,2026-08-14T20:02:00,dispatch,slow_progress
INT-00202,O01419,CUSTOMER_CREDIT,2026-08-19T19:54:50.031353,support,late_delivery
INT-00203,O00751,RESTAURANT_CONTACT,2026-08-25T20:54:00,support,prep_delay
INT-00204,O00257,RESTAURANT_CONTACT,2026-08-20T14:59:00,support,status_stale
INT-00205,O01393,CUSTOMER_CREDIT,2026-08-05T00:12:05.058857,support,support_resolution
INT-00206,O00878,RESTAURANT_CONTACT,2026-08-07T15:34:00,support,customer_escalation
INT-00207,O00493,DRIVER_REASSIGNMENT,2026-08-01T13:17:00,dispatch,slow_progress
INT-00208,O01305,DRIVER_REASSIGNMENT,2026-08-21T21:38:00,dispatch,slow_progress
INT-00209,O00153,PRIORITY_DISPATCH,2026-08-07T23:33:00,operations,vip_customer
INT-00210,O00399,PRIORITY_DISPATCH,2026-08-13T23:18:00,operations,vip_customer
INT-00211,O01450,PRIORITY_DISPATCH,2026-08-11T20:50:00,operations,manual_ops_review
INT-00212,O00027,DRIVER_REASSIGNMENT,2026-08-09T11:23:00,dispatch,driver_unavailable
INT-00213,O01466,DRIVER_REASSIGNMENT,2026-08-12T19:53:00,dispatch,slow_progress
INT-00214,O00666,CUSTOMER_CREDIT,2026-08-10T20:39:01.157591,support,support_resolution
INT-00215,O01113,RESTAURANT_CONTACT,2026-08-01T18:25:00,support,customer_escalation
INT-00216,O00558,PRIORITY_DISPATCH,2026-08-24T18:51:00,operations,late_risk
INT-00217,O00430,RESTAURANT_CONTACT,2026-08-23T18:43:00,support,customer_escalation
INT-00218,O01408,DRIVER_REASSIGNMENT,2026-08-10T22:43:00,dispatch,capacity_rebalance
INT-00219,O00918,RESTAURANT_CONTACT,2026-08-23T12:07:00,support,status_stale
INT-00220,O00626,DRIVER_REASSIGNMENT,2026-08-02T12:17:00,dispatch,slow_progress
INT-00221,O01572,DRIVER_REASSIGNMENT,2026-08-04T17:54:00,dispatch,capacity_rebalance
INT-00222,O00408,PRIORITY_DISPATCH,2026-08-04T21:31:00,operations,late_risk
INT-00223,O00640,DRIVER_REASSIGNMENT,2026-08-26T20:34:00,dispatch,capacity_rebalance
INT-00224,O00138,RESTAURANT_CONTACT,2026-08-06T18:54:00,support,status_stale
INT-00225,O01182,CUSTOMER_CREDIT,2026-08-11T19:33:48,support,late_delivery
INT-00226,O01114,RESTAURANT_CONTACT,2026-08-28T15:48:00,support,customer_escalation
INT-00227,O01007,RESTAURANT_CONTACT,2026-08-22T19:18:00,support,prep_delay
INT-00228,O01423,DRIVER_REASSIGNMENT,2026-08-14T18:40:00,dispatch,slow_progress
INT-00229,O00497,PRIORITY_DISPATCH,2026-08-13T19:36:00,operations,late_risk
INT-00230,O00172,DRIVER_REASSIGNMENT,2026-08-04T16:48:00,dispatch,capacity_rebalance
INT-00231,O00403,DRIVER_REASSIGNMENT,2026-08-16T22:58:00,dispatch,capacity_rebalance
INT-00232,O00845,PRIORITY_DISPATCH,2026-08-16T18:49:00,operations,manual_ops_review
INT-00233,O00754,RESTAURANT_CONTACT,2026-08-21T16:15:00,support,prep_delay
INT-00234,O00008,CUSTOMER_CREDIT,2026-08-27T23:44:06,support,service_recovery
INT-00235,O00947,DRIVER_REASSIGNMENT,2026-08-07T20:35:00,dispatch,slow_progress
INT-00236,O01411,RESTAURANT_CONTACT,2026-08-11T12:22:00,support,prep_delay
INT-00237,O00151,RESTAURANT_CONTACT,2026-08-08T18:37:00,support,customer_escalation
INT-00238,O01187,PRIORITY_DISPATCH,2026-08-26T20:22:00,operations,vip_customer
INT-00239,O00001,DRIVER_REASSIGNMENT,2026-08-13T13:08:00,dispatch,driver_unavailable
INT-00240,O00428,DRIVER_REASSIGNMENT,2026-08-05T18:42:00,dispatch,capacity_rebalance
INT-00241,O01594,CUSTOMER_CREDIT,2026-08-13T14:42:48,support,support_resolution
INT-00242,O00540,CUSTOMER_CREDIT,2026-08-21T00:32:44.226468,support,service_recovery
INT-00243,O00746,CUSTOMER_CREDIT,2026-08-22T18:29:48,support,service_recovery
INT-00244,O00162,CUSTOMER_CREDIT,2026-08-26T19:27:48,support,support_resolution
INT-00245,O00704,PRIORITY_DISPATCH,2026-08-21T17:46:00,operations,vip_customer
INT-00246,O00962,DRIVER_REASSIGNMENT,2026-08-11T21:47:00,dispatch,slow_progress
INT-00247,O00585,DRIVER_REASSIGNMENT,2026-08-17T14:59:00,dispatch,driver_unavailable
INT-00248,O01177,RESTAURANT_CONTACT,2026-08-07T18:16:00,support,customer_escalation
INT-00249,O01510,PRIORITY_DISPATCH,2026-08-17T23:02:00,operations,vip_customer
INT-00250,O00056,RESTAURANT_CONTACT,2026-08-10T19:57:00,support,prep_delay
INT-00251,O00251,RESTAURANT_CONTACT,2026-08-28T15:41:00,support,status_stale
INT-00252,O00026,DRIVER_REASSIGNMENT,2026-08-18T22:52:00,dispatch,capacity_rebalance
INT-00253,O00732,RESTAURANT_CONTACT,2026-08-19T20:35:00,support,status_stale
INT-00254,O01199,RESTAURANT_CONTACT,2026-08-14T13:04:00,support,customer_escalation
INT-00255,O01119,RESTAURANT_CONTACT,2026-08-24T15:21:00,support,customer_escalation
INT-00256,O00718,PRIORITY_DISPATCH,2026-08-25T17:35:00,operations,vip_customer
INT-00257,O00702,DRIVER_REASSIGNMENT,2026-08-10T12:14:00,dispatch,capacity_rebalance
INT-00258,O01138,RESTAURANT_CONTACT,2026-08-15T21:37:00,support,status_stale
INT-00259,O00266,PRIORITY_DISPATCH,2026-08-10T20:49:00,operations,vip_customer
INT-00260,O00695,CUSTOMER_CREDIT,2026-08-24T21:22:18,support,support_resolution
INT-00261,O01221,DRIVER_REASSIGNMENT,2026-08-09T19:00:00,dispatch,capacity_rebalance
INT-00262,O00891,DRIVER_REASSIGNMENT,2026-08-22T22:58:00,dispatch,capacity_rebalance
INT-00263,O00690,PRIORITY_DISPATCH,2026-08-16T20:00:00,operations,manual_ops_review
INT-00264,O00998,RESTAURANT_CONTACT,2026-08-16T15:34:00,support,prep_delay
INT-00265,O01170,CUSTOMER_CREDIT,2026-08-05T22:01:36,support,late_delivery
INT-00266,O00623,DRIVER_REASSIGNMENT,2026-08-20T23:10:00,dispatch,driver_unavailable
INT-00267,O00799,CUSTOMER_CREDIT,2026-08-09T14:37:23.826486,support,support_resolution
INT-00268,O00101,CUSTOMER_CREDIT,2026-08-24T20:57:00,support,support_resolution
INT-00269,O00953,PRIORITY_DISPATCH,2026-08-13T13:15:00,operations,manual_ops_review
INT-00270,O00630,RESTAURANT_CONTACT,2026-08-06T20:03:00,support,customer_escalation
INT-00271,O01031,PRIORITY_DISPATCH,2026-08-10T20:41:00,operations,vip_customer
INT-00272,O00965,RESTAURANT_CONTACT,2026-08-23T15:21:00,support,status_stale
INT-00273,O00277,RESTAURANT_CONTACT,2026-08-06T19:04:00,support,customer_escalation
INT-00274,O01071,PRIORITY_DISPATCH,2026-08-23T23:13:00,operations,late_risk
INT-00275,O01012,DRIVER_REASSIGNMENT,2026-08-26T12:50:00,dispatch,capacity_rebalance
INT-00276,O00280,DRIVER_REASSIGNMENT,2026-08-09T17:59:00,dispatch,capacity_rebalance
INT-00277,O00351,RESTAURANT_CONTACT,2026-08-16T20:48:00,support,customer_escalation
INT-00278,O00292,PRIORITY_DISPATCH,2026-08-05T16:59:00,operations,late_risk
INT-00279,O00033,RESTAURANT_CONTACT,2026-08-06T23:55:00,support,status_stale
INT-00280,O01332,PRIORITY_DISPATCH,2026-08-01T19:45:00,operations,manual_ops_review
INT-00281,O01004,RESTAURANT_CONTACT,2026-08-01T11:39:00,support,status_stale
INT-00282,O00431,PRIORITY_DISPATCH,2026-08-15T12:55:00,operations,late_risk
INT-00283,O01578,PRIORITY_DISPATCH,2026-08-13T20:58:00,operations,manual_ops_review
INT-00284,O00885,RESTAURANT_CONTACT,2026-08-18T20:50:00,support,status_stale
INT-00285,O01301,RESTAURANT_CONTACT,2026-08-11T21:40:00,support,prep_delay
INT-00286,O01374,RESTAURANT_CONTACT,2026-08-27T18:36:00,support,customer_escalation
INT-00287,O01553,DRIVER_REASSIGNMENT,2026-08-27T22:00:00,dispatch,driver_unavailable
INT-00288,O01115,DRIVER_REASSIGNMENT,2026-08-25T19:35:00,dispatch,slow_progress
INT-00289,O01579,DRIVER_REASSIGNMENT,2026-08-28T17:44:00,dispatch,capacity_rebalance
INT-00290,O01396,PRIORITY_DISPATCH,2026-08-11T19:14:00,operations,late_risk
INT-00291,O01108,CUSTOMER_CREDIT,2026-08-03T17:38:20.173057,support,late_delivery
INT-00292,O01246,RESTAURANT_CONTACT,2026-08-15T17:55:00,support,status_stale
