event_id,order_id,event_type,event_time,actor_type,actor_id,source_system
EV-000054,O00019,PICKED_UP,2026-08-13T16:21:28.629470,driver,D016,order_platform
EV-000055,O00019,DELIVERED,2026-08-13T16:42:01.993336,driver,D016,order_platform
EV-000056,O00020,ORDER_CREATED,2026-08-07T21:39:00,customer,C0384,order_platform
EV-000057,O00020,PICKED_UP,2026-08-07T22:08:05.978241,driver,D036,order_platform
EV-000058,O00020,DELIVERED,2026-08-07T22:40:46.404645,driver,D036,order_platform
EV-000059,O00021,ORDER_CREATED,2026-08-10T12:01:00,customer,C0090,order_platform
EV-000060,O00021,PICKED_UP,2026-08-10T12:13:20.502684,driver,D034,order_platform
EV-000061,O00021,DELIVERED,2026-08-10T13:18:22.060190,driver,D034,order_platform
EV-000062,O00022,ORDER_CREATED,2026-08-26T11:34:00,customer,C0189,order_platform
EV-000063,O00022,PICKED_UP,2026-08-26T11:59:18.389455,driver,D055,order_platform
EV-000064,O00022,DELIVERED,2026-08-26T12:38:45.059668,driver,D055,order_platform
EV-000065,O00023,ORDER_CREATED,2026-08-26T22:49:00,customer,C0129,order_platform
EV-000066,O00023,PICKED_UP,2026-08-26T23:06:00.277655,driver,D028,order_platform
EV-000067,O00023,DELIVERED,2026-08-26T23:36:12.854112,driver,D028,order_platform
EV-000068,O00024,ORDER_CREATED,2026-08-16T14:51:00,customer,C0677,order_platform
EV-000069,O00024,PICKED_UP,2026-08-16T15:17:20.724084,driver,D049,order_platform
EV-000070,O00024,DELIVERED,2026-08-16T15:53:03.503851,driver,D049,order_platform
EV-000071,O00025,ORDER_CREATED,2026-08-01T12:14:00,customer,C0886,order_platform
EV-000072,O00025,PICKED_UP,2026-08-01T12:29:31.152542,driver,D039,order_platform
EV-000073,O00025,DELIVERED,2026-08-01T13:20:06.003033,driver,D039,order_platform
EV-000074,O00026,ORDER_CREATED,2026-08-18T22:44:00,customer,C0387,order_platform
EV-000075,O00026,PICKED_UP,2026-08-18T22:55:15.444652,driver,D078,order_platform
EV-000076,O00026,DELIVERED,2026-08-18T23:41:17.389921,driver,D078,order_platform
EV-000077,O00027,ORDER_CREATED,2026-08-09T11:03:00,customer,C0253,order_platform
EV-000078,O00027,PICKED_UP,2026-08-09T11:46:29.978834,driver,D053,order_platform
EV-000079,O00027,DELIVERED,2026-08-09T12:39:24.323714,driver,D053,order_platform
EV-000080,O00028,ORDER_CREATED,2026-08-04T20:25:00,customer,C0466,order_platform
EV-000081,O00028,PICKED_UP,2026-08-04T20:39:01.022116,driver,D058,order_platform
EV-000082,O00028,DELIVERED,2026-08-04T21:26:49.720910,driver,D058,order_platform
EV-000083,O00029,ORDER_CREATED,2026-08-15T16:37:00,customer,C0808,order_platform
EV-000084,O00029,PICKED_UP,2026-08-15T17:00:48.040905,driver,D023,order_platform
EV-000085,O00029,DELIVERED,2026-08-15T18:04:48.522886,driver,D023,order_platform
EV-000086,O00030,ORDER_CREATED,2026-08-03T13:26:00,customer,C0409,order_platform
EV-000087,O00030,PICKED_UP,2026-08-03T13:51:40.389650,driver,D120,order_platform
EV-000088,O00030,DELIVERED,2026-08-03T14:39:02.098618,driver,D120,order_platform
EV-000089,O00031,ORDER_CREATED,2026-08-09T20:04:00,customer,C0128,order_platform
EV-000090,O00031,PICKED_UP,2026-08-09T20:33:38.793988,driver,D017,order_platform
EV-000091,O00031,DELIVERED,2026-08-09T21:01:36.190772,driver,D017,order_platform
EV-000092,O00032,ORDER_CREATED,2026-08-14T20:38:00,customer,C0392,order_platform
EV-000093,O00032,PICKED_UP,2026-08-14T21:07:09.676879,driver,D027,order_platform
EV-000094,O00032,DELIVERED,2026-08-14T21:18:38.840632,driver,D027,order_platform
EV-000095,O00033,ORDER_CREATED,2026-08-06T23:27:00,customer,C0536,order_platform
EV-000096,O00033,PICKED_UP,2026-08-07T00:09:18.107741,driver,D118,order_platform
EV-000097,O00033,DELIVERED,2026-08-07T01:01:07.342758,driver,D118,order_platform
EV-000098,O00034,ORDER_CREATED,2026-08-25T17:32:00,customer,C0356,order_platform
EV-000099,O00034,PICKED_UP,2026-08-25T17:56:21.860118,driver,D035,order_platform
EV-000100,O00034,DELIVERED,2026-08-25T18:39:08.259091,driver,D035,order_platform
EV-000101,O00035,ORDER_CREATED,2026-08-10T18:44:00,customer,C0386,order_platform
EV-000102,O00035,PICKED_UP,2026-08-10T19:12:19.400185,driver,D113,order_platform
EV-000103,O00035,DELIVERED,2026-08-10T19:27:44.429504,driver,D113,order_platform
EV-000104,O00036,ORDER_CREATED,2026-08-23T16:45:00,customer,C0495,order_platform
EV-000105,O00036,PICKED_UP,2026-08-23T17:04:53.954518,driver,D082,order_platform
EV-000106,O00036,DELIVERED,2026-08-23T17:53:16.280620,driver,D082,order_platform
EV-000107,O00037,ORDER_CREATED,2026-08-09T20:18:00,customer,C0346,order_platform
EV-000108,O00037,PICKED_UP,2026-08-09T20:50:48.474029,driver,D076,order_platform
EV-000109,O00037,DELIVERED,2026-08-09T21:55:45.135763,driver,D076,order_platform
EV-000110,O00038,ORDER_CREATED,2026-08-08T21:26:00,customer,C0375,order_platform
EV-000111,O00038,PICKED_UP,2026-08-08T21:48:05.008508,driver,D050,order_platform
EV-000112,O00038,DELIVERED,2026-08-08T22:35:35.238022,driver,D050,order_platform
EV-000113,O00039,ORDER_CREATED,2026-08-11T21:55:00,customer,C0266,order_platform
EV-000114,O00039,PICKED_UP,2026-08-11T22:27:09.021609,driver,D037,order_platform
EV-000115,O00039,DELIVERED,2026-08-11T23:09:25.053883,driver,D037,order_platform
EV-000116,O00040,ORDER_CREATED,2026-08-11T19:56:00,customer,C0374,order_platform
EV-000117,O00040,PICKED_UP,2026-08-11T20:40:03.749918,driver,D035,order_platform
EV-000118,O00040,DELIVERED,2026-08-11T21:15:39.373978,driver,D035,order_platform
EV-000119,O00041,ORDER_CREATED,2026-08-01T11:50:00,customer,C0008,order_platform
EV-000120,O00041,PICKED_UP,2026-08-01T12:20:10.069906,driver,D098,order_platform
EV-000121,O00041,DELIVERED,2026-08-01T13:08:11.752741,driver,D098,order_platform
EV-000122,O00042,ORDER_CREATED,2026-08-09T18:42:00,customer,C0862,order_platform
EV-000123,O00042,PICKED_UP,2026-08-09T19:07:01.883678,driver,D041,order_platform
EV-000124,O00042,DELIVERED,2026-08-09T19:34:20.331287,driver,D041,order_platform
EV-000125,O00043,ORDER_CREATED,2026-08-04T14:36:00,customer,C0405,order_platform
EV-000126,O00043,PICKED_UP,2026-08-04T15:24:49.846453,driver,D102,order_platform
EV-000127,O00044,ORDER_CREATED,2026-08-08T19:39:00,customer,C0644,order_platform
EV-000128,O00044,PICKED_UP,2026-08-08T20:09:43.232668,driver,D080,order_platform
EV-000129,O00044,DELIVERED,2026-08-08T20:50:55.989452,driver,D080,order_platform
EV-000130,O00045,ORDER_CREATED,2026-08-14T13:08:00,customer,C0306,order_platform
EV-000131,O00045,PICKED_UP,2026-08-14T13:29:04.252494,driver,D020,order_platform
EV-000132,O00045,DELIVERED,2026-08-14T14:35:01.740517,driver,D020,order_platform
EV-000133,O00046,ORDER_CREATED,2026-08-05T20:14:00,customer,C0828,order_platform
EV-000134,O00046,PICKED_UP,2026-08-05T20:29:13.634840,driver,D034,order_platform
EV-000135,O00046,DELIVERED,2026-08-05T20:51:44.881147,driver,D034,order_platform
EV-000136,O00047,ORDER_CREATED,2026-08-22T15:24:00,customer,C0285,order_platform
EV-000137,O00047,PICKED_UP,2026-08-22T16:15:40.868551,driver,D111,order_platform
EV-000138,O00047,DELIVERED,2026-08-22T17:13:46.468098,driver,D111,order_platform
EV-000139,O00048,ORDER_CREATED,2026-08-10T23:07:00,customer,C0675,order_platform
EV-000140,O00048,PICKED_UP,2026-08-10T23:53:00.424638,driver,D039,order_platform
EV-000141,O00048,DELIVERED,2026-08-11T00:20:25.937903,driver,D039,order_platform
EV-000142,O00049,ORDER_CREATED,2026-08-09T11:23:00,customer,C0544,order_platform
EV-000143,O00049,PICKED_UP,2026-08-09T11:50:43.930186,driver,D042,order_platform
EV-000144,O00049,DELIVERED,2026-08-09T12:06:08.285589,driver,D042,order_platform
EV-000145,O00050,ORDER_CREATED,2026-08-22T14:40:00,customer,C0116,order_platform
EV-000146,O00050,PICKED_UP,2026-08-22T15:11:29.011983,driver,D070,order_platform
EV-000147,O00050,DELIVERED,2026-08-22T15:36:07.615519,driver,D070,order_platform
EV-000148,O00051,ORDER_CREATED,2026-08-01T15:09:00,customer,C0875,order_platform
EV-000149,O00051,PICKED_UP,2026-08-01T16:24:51.495665,driver,D058,order_platform
EV-000150,O00051,DELIVERED,2026-08-01T16:19:51.495665,driver,D058,order_platform
EV-000151,O00052,ORDER_CREATED,2026-08-24T17:07:00,customer,C0610,order_platform
EV-000152,O00052,PICKED_UP,2026-08-24T18:16:16.946011,driver,D086,order_platform
EV-000153,O00052,DELIVERED,2026-08-24T18:11:16.946011,driver,D086,order_platform
EV-000154,O00053,ORDER_CREATED,2026-08-13T17:06:00,customer,C0797,order_platform
EV-000155,O00053,PICKED_UP,2026-08-13T18:25:53.797613,driver,D028,order_platform
EV-000156,O00053,DELIVERED,2026-08-13T18:20:53.797613,driver,D028,order_platform
EV-000157,O00054,ORDER_CREATED,2026-08-28T19:56:00,customer,C0270,order_platform
EV-000158,O00054,PICKED_UP,2026-08-28T21:25:10.582862,driver,D113,order_platform
EV-000159,O00054,DELIVERED,2026-08-28T21:20:10.582862,driver,D113,order_platform
EV-000160,O00055,ORDER_CREATED,2026-08-16T12:53:00,customer,C0511,order_platform
EV-000161,O00055,PICKED_UP,2026-08-16T14:08:05.645770,driver,D030,order_platform
EV-000162,O00055,DELIVERED,2026-08-16T14:03:05.645770,driver,D030,order_platform
EV-000163,O00056,ORDER_CREATED,2026-08-10T19:22:00,customer,C0321,order_platform
EV-000164,O00056,PICKED_UP,2026-08-10T19:40:53.826897,driver,D087,order_platform
EV-000165,O00056,DELIVERED,2026-08-10T20:27:29.150791,driver,D087,order_platform
EV-000166,O00057,ORDER_CREATED,2026-08-27T19:43:00,customer,C0097,order_platform
EV-000167,O00057,PICKED_UP,2026-08-27T20:05:29.848536,driver,D018,order_platform
EV-000168,O00057,DELIVERED,2026-08-27T20:56:43.749750,driver,D018,order_platform
EV-000169,O00058,ORDER_CREATED,2026-08-05T20:01:00,customer,C0604,order_platform
EV-000170,O00058,PICKED_UP,2026-08-05T20:32:28.460434,driver,D007,order_platform
EV-000171,O00058,DELIVERED,2026-08-05T21:08:44.647933,driver,D007,order_platform
EV-000172,O00059,ORDER_CREATED,2026-08-09T18:27:00,customer,C0242,order_platform
EV-000173,O00059,PICKED_UP,2026-08-09T18:46:59.607808,driver,D024,order_platform
EV-000174,O00059,DELIVERED,2026-08-09T19:12:16.937862,driver,D024,order_platform
EV-000175,O00060,ORDER_CREATED,2026-08-10T22:49:00,customer,C0210,order_platform
EV-000176,O00060,PICKED_UP,2026-08-10T23:32:03.056253,driver,D023,order_platform
EV-000177,O00060,DELIVERED,2026-08-11T00:10:51.404067,driver,D023,order_platform
EV-000178,O00061,ORDER_CREATED,2026-08-03T21:36:00,customer,C0352,order_platform
EV-000179,O00061,PICKED_UP,2026-08-03T21:49:32.897292,driver,D043,order_platform
EV-000180,O00061,DELIVERED,2026-08-03T22:29:14.636022,driver,D043,order_platform
EV-000181,O00062,ORDER_CREATED,2026-08-17T12:55:00,customer,C0243,order_platform
EV-000182,O00062,PICKED_UP,2026-08-17T13:22:19.852864,driver,D088,order_platform
EV-000183,O00062,DELIVERED,2026-08-17T14:00:44.168583,driver,D088,order_platform
EV-000184,O00063,ORDER_CREATED,2026-08-20T13:48:00,customer,C0427,order_platform
EV-000185,O00063,PICKED_UP,2026-08-20T14:07:56.067127,driver,D103,order_platform
EV-000186,O00063,DELIVERED,2026-08-20T14:59:23.320672,driver,D103,order_platform
EV-000187,O00064,ORDER_CREATED,2026-08-09T19:22:00,customer,C0265,order_platform
EV-000188,O00064,PICKED_UP,2026-08-09T20:20:33.032412,driver,D032,order_platform
EV-000189,O00064,DELIVERED,2026-08-09T21:05:34.486949,driver,D032,order_platform
EV-000190,O00065,ORDER_CREATED,2026-08-21T13:38:00,customer,C0553,order_platform
EV-000191,O00065,PICKED_UP,2026-08-21T14:11:07.263020,driver,D065,order_platform
EV-000192,O00065,DELIVERED,2026-08-21T15:02:05.311675,driver,D065,order_platform
EV-000193,O00066,ORDER_CREATED,2026-08-13T17:21:00,customer,C0479,order_platform
EV-000194,O00066,PICKED_UP,2026-08-13T17:41:22.556953,driver,D086,order_platform
EV-000195,O00066,DELIVERED,2026-08-13T18:41:27.984968,driver,D086,order_platform
EV-000196,O00067,ORDER_CREATED,2026-08-12T16:41:00,customer,C0684,order_platform
EV-000197,O00067,PICKED_UP,2026-08-12T17:13:14.803034,driver,D006,order_platform
EV-000198,O00067,DELIVERED,2026-08-12T18:07:40.488736,driver,D006,order_platform
EV-000199,O00068,ORDER_CREATED,2026-08-12T11:19:00,customer,C0359,order_platform
EV-000200,O00068,PICKED_UP,2026-08-12T11:44:36.650431,driver,D003,order_platform
EV-000201,O00068,DELIVERED,2026-08-12T12:30:32.618666,driver,D003,order_platform
EV-000202,O00069,ORDER_CREATED,2026-08-20T13:24:00,customer,C0341,order_platform
EV-000203,O00069,PICKED_UP,2026-08-20T13:51:08.059244,driver,D036,order_platform
EV-000204,O00069,DELIVERED,2026-08-20T14:33:18.505133,driver,D036,order_platform
EV-000205,O00070,ORDER_CREATED,2026-08-26T20:57:00,customer,C0304,order_platform
EV-000206,O00070,PICKED_UP,2026-08-26T21:07:28.452409,driver,D021,order_platform
EV-000207,O00070,DELIVERED,2026-08-26T21:58:51.688833,driver,D021,order_platform
EV-000208,O00071,ORDER_CREATED,2026-08-21T18:23:00,customer,C0391,order_platform
EV-000209,O00071,PICKED_UP,2026-08-21T18:56:42.768236,driver,D092,order_platform
EV-000210,O00071,DELIVERED,2026-08-21T19:49:45.210065,driver,D092,order_platform
EV-000211,O00072,ORDER_CREATED,2026-08-15T21:59:00,customer,C0499,order_platform
EV-000212,O00072,PICKED_UP,2026-08-15T22:28:48.467550,driver,D088,order_platform
EV-000213,O00072,DELIVERED,2026-08-15T23:02:38.501816,driver,D088,order_platform
EV-000214,O00073,ORDER_CREATED,2026-08-27T13:45:00,customer,C0750,order_platform
EV-000215,O00073,PICKED_UP,2026-08-27T14:21:59.206034,driver,D070,order_platform
EV-000216,O00073,DELIVERED,2026-08-27T14:57:32.152522,driver,D070,order_platform
EV-000217,O00074,ORDER_CREATED,2026-08-20T18:07:00,customer,C0492,order_platform
EV-000218,O00074,PICKED_UP,2026-08-20T18:34:00.420270,driver,D089,order_platform
EV-000219,O00074,DELIVERED,2026-08-20T19:34:23.133807,driver,D089,order_platform
EV-000220,O00075,ORDER_CREATED,2026-08-17T23:04:00,customer,C0055,order_platform
EV-000221,O00075,PICKED_UP,2026-08-17T23:34:16.214030,driver,D035,order_platform
EV-000222,O00076,ORDER_CREATED,2026-08-21T17:23:00,customer,C0876,order_platform
EV-000223,O00076,PICKED_UP,2026-08-21T17:50:53.912802,driver,D041,order_platform
EV-000224,O00076,DELIVERED,2026-08-21T18:41:37.819229,driver,D041,order_platform
EV-000225,O00077,ORDER_CREATED,2026-08-15T23:30:00,customer,C0157,order_platform
EV-000226,O00077,PICKED_UP,2026-08-16T00:18:41.900236,driver,D108,order_platform
EV-000227,O00077,DELIVERED,2026-08-16T01:01:54.139242,driver,D108,order_platform
EV-000228,O00078,ORDER_CREATED,2026-08-25T19:18:00,customer,C0633,order_platform
EV-000229,O00078,PICKED_UP,2026-08-25T19:38:13.247574,driver,D055,order_platform
EV-000230,O00078,DELIVERED,2026-08-25T20:30:57.518398,driver,D055,order_platform
EV-000231,O00079,ORDER_CREATED,2026-08-09T20:46:00,customer,C0387,order_platform
EV-000232,O00079,PICKED_UP,2026-08-09T21:08:46.629720,driver,D078,order_platform
EV-000233,O00079,DELIVERED,2026-08-09T22:03:08.100826,driver,D078,order_platform
EV-000234,O00080,ORDER_CREATED,2026-08-20T23:17:00,customer,C0229,order_platform
EV-000235,O00080,PICKED_UP,2026-08-21T00:04:18.199111,driver,D037,order_platform
EV-000236,O00080,DELIVERED,2026-08-21T01:01:48.459960,driver,D037,order_platform
EV-000237,O00081,ORDER_CREATED,2026-08-19T11:09:00,customer,C0581,order_platform
EV-000238,O00081,PICKED_UP,2026-08-19T11:26:02.999481,driver,D004,order_platform
EV-000239,O00081,DELIVERED,2026-08-19T12:24:09.886909,driver,D004,order_platform
EV-000240,O00082,ORDER_CREATED,2026-08-17T17:35:00,customer,C0366,order_platform
EV-000241,O00082,PICKED_UP,2026-08-17T17:51:55.830854,driver,D029,order_platform
EV-000242,O00082,DELIVERED,2026-08-17T18:13:47.804039,driver,D029,order_platform
EV-000243,O00083,ORDER_CREATED,2026-08-15T23:51:00,customer,C0404,order_platform
EV-000244,O00083,PICKED_UP,2026-08-16T00:13:07.414442,driver,D061,order_platform
EV-000245,O00083,DELIVERED,2026-08-16T01:15:40.179224,driver,D061,order_platform
EV-000246,O00084,ORDER_CREATED,2026-08-07T20:15:00,customer,C0242,order_platform
EV-000247,O00084,PICKED_UP,2026-08-07T20:31:38.288560,driver,D008,order_platform
EV-000248,O00084,DELIVERED,2026-08-07T21:27:14.338789,driver,D008,order_platform
EV-000249,O00085,ORDER_CREATED,2026-08-03T12:20:00,customer,C0219,order_platform
EV-000250,O00085,PICKED_UP,2026-08-03T12:44:22.694982,driver,D037,order_platform
EV-000251,O00085,DELIVERED,2026-08-03T13:39:23.274303,driver,D037,order_platform
EV-000252,O00086,ORDER_CREATED,2026-08-04T18:19:00,customer,C0011,order_platform
EV-000253,O00086,PICKED_UP,2026-08-04T18:43:02.980015,driver,D108,order_platform
EV-000254,O00086,DELIVERED,2026-08-04T19:30:47.013099,driver,D108,order_platform
EV-000255,O00087,ORDER_CREATED,2026-08-06T19:37:00,customer,C0249,order_platform
EV-000256,O00087,PICKED_UP,2026-08-06T19:55:57.983013,driver,D032,order_platform
EV-000257,O00087,DELIVERED,2026-08-06T20:41:02.048528,driver,D032,order_platform
EV-000258,O00088,ORDER_CREATED,2026-08-16T21:34:00,customer,C0077,order_platform
EV-000259,O00088,PICKED_UP,2026-08-16T21:51:36.170791,driver,D032,order_platform
EV-000260,O00088,DELIVERED,2026-08-16T22:55:19.466837,driver,D032,order_platform
EV-000261,O00089,ORDER_CREATED,2026-08-24T23:22:00,customer,C0341,order_platform
EV-000262,O00089,PICKED_UP,2026-08-24T23:51:10.776789,driver,D016,order_platform
EV-000263,O00089,DELIVERED,2026-08-25T00:56:28.164196,driver,D016,order_platform
EV-000264,O00090,ORDER_CREATED,2026-08-20T17:55:00,customer,C0435,order_platform
EV-000265,O00090,PICKED_UP,2026-08-20T18:31:29.635751,driver,D106,order_platform
EV-000266,O00090,DELIVERED,2026-08-20T19:37:33.495349,driver,D106,order_platform
EV-000267,O00091,ORDER_CREATED,2026-08-08T14:22:00,customer,C0567,order_platform
EV-000268,O00091,PICKED_UP,2026-08-08T14:42:22.888278,driver,D050,order_platform
EV-000269,O00091,DELIVERED,2026-08-08T15:32:46.714468,driver,D050,order_platform
EV-000270,O00092,ORDER_CREATED,2026-08-03T17:28:00,customer,C0680,order_platform
EV-000271,O00092,PICKED_UP,2026-08-03T17:53:55.130436,driver,D010,order_platform
EV-000272,O00092,DELIVERED,2026-08-03T18:51:24.017088,driver,D010,order_platform
EV-000273,O00093,ORDER_CREATED,2026-08-02T11:45:00,customer,C0110,order_platform
EV-000274,O00093,PICKED_UP,2026-08-02T12:11:43.037180,driver,D042,order_platform
EV-000275,O00093,DELIVERED,2026-08-02T13:01:53.275765,driver,D042,order_platform
EV-000276,O00094,ORDER_CREATED,2026-08-19T16:52:00,customer,C0878,order_platform
EV-000277,O00094,PICKED_UP,2026-08-19T17:39:02.564976,driver,D072,order_platform
EV-000278,O00094,DELIVERED,2026-08-19T18:24:21.698196,driver,D072,order_platform
EV-000279,O00095,ORDER_CREATED,2026-08-21T20:49:00,customer,C0091,order_platform
EV-000280,O00095,PICKED_UP,2026-08-21T21:34:59.863473,driver,D107,order_platform
EV-000281,O00096,ORDER_CREATED,2026-08-28T21:46:00,customer,C0757,order_platform
EV-000282,O00096,PICKED_UP,2026-08-28T22:07:07.159833,driver,D006,order_platform
EV-000283,O00096,DELIVERED,2026-08-28T22:54:02.388621,driver,D006,order_platform
EV-000284,O00097,ORDER_CREATED,2026-08-26T19:39:00,customer,C0561,order_platform
EV-000285,O00097,PICKED_UP,2026-08-26T20:05:04.445452,driver,D026,order_platform
EV-000286,O00097,DELIVERED,2026-08-26T21:07:54.066262,driver,D026,order_platform
EV-000287,O00098,ORDER_CREATED,2026-08-04T18:34:00,customer,C0318,order_platform
EV-000288,O00098,PICKED_UP,2026-08-04T19:02:55.655146,driver,D035,order_platform
EV-000289,O00098,DELIVERED,2026-08-04T19:47:49.583343,driver,D035,order_platform
EV-000290,O00099,ORDER_CREATED,2026-08-18T19:08:00,customer,C0046,order_platform
EV-000291,O00099,PICKED_UP,2026-08-18T19:38:28.716286,driver,D040,order_platform
EV-000292,O00099,DELIVERED,2026-08-18T20:19:55.577319,driver,D040,order_platform
EV-000293,O00100,ORDER_CREATED,2026-08-18T23:10:00,customer,C0485,order_platform
EV-000294,O00100,PICKED_UP,2026-08-18T23:32:27.248969,driver,D090,order_platform
EV-000295,O00100,DELIVERED,2026-08-19T00:28:17.159744,driver,D090,order_platform
EV-000296,O00101,ORDER_CREATED,2026-08-24T20:59:00,customer,C0538,order_platform
EV-000297,O00101,PICKED_UP,2026-08-24T21:25:03.983984,driver,D111,order_platform
EV-000298,O00101,DELIVERED,2026-08-24T22:14:30.685278,driver,D111,order_platform
EV-000299,O00102,ORDER_CREATED,2026-08-11T16:41:00,customer,C0263,order_platform
EV-000300,O00102,PICKED_UP,2026-08-11T17:05:05.809584,driver,D056,order_platform
EV-000301,O00102,DELIVERED,2026-08-11T17:57:17.661772,driver,D056,order_platform
EV-000302,O00103,ORDER_CREATED,2026-08-22T20:11:00,customer,C0389,order_platform
EV-000303,O00103,PICKED_UP,2026-08-22T20:39:45.064627,driver,D098,order_platform
EV-000304,O00103,DELIVERED,2026-08-22T21:10:17.342305,driver,D098,order_platform
EV-000305,O00104,ORDER_CREATED,2026-08-09T22:19:00,customer,C0436,order_platform
EV-000306,O00104,PICKED_UP,2026-08-09T22:47:33.934776,driver,D055,order_platform
EV-000307,O00104,DELIVERED,2026-08-09T23:36:20.740161,driver,D055,order_platform
EV-000308,O00105,ORDER_CREATED,2026-08-08T14:08:00,customer,C0729,order_platform
EV-000309,O00105,PICKED_UP,2026-08-08T14:26:39.014283,driver,D069,order_platform
EV-000310,O00105,DELIVERED,2026-08-08T15:14:12.630181,driver,D069,order_platform
EV-000311,O00106,ORDER_CREATED,2026-08-12T12:36:00,customer,C0760,order_platform
EV-000312,O00106,PICKED_UP,2026-08-12T12:46:53.767240,driver,D089,order_platform
