action_id,order_id,customer_id,action_type,action_at,channel
ACT-00074,O01079,C0686,ETA_VIEWED,2026-08-11T16:01:00,mobile_app
ACT-00075,O01155,C0681,ETA_VIEWED,2026-08-25T21:09:00,mobile_app
ACT-00076,O01155,C0681,ETA_VIEWED,2026-08-25T21:10:00,mobile_app
ACT-00077,O01365,C0896,ETA_VIEWED,2026-08-17T17:53:00,mobile_app
ACT-00078,O01365,C0896,SUPPORT_OPENED,2026-08-17T18:59:21.635049,mobile_app
ACT-00079,O00864,C0237,ETA_VIEWED,2026-08-15T13:16:00,mobile_app
ACT-00080,O00864,C0237,ETA_VIEWED,2026-08-15T13:09:00,mobile_app
ACT-00081,O00864,C0237,ETA_VIEWED,2026-08-15T13:24:00,mobile_app
ACT-00082,O00660,C0512,ETA_VIEWED,2026-08-18T18:29:00,mobile_app
ACT-00083,O00660,C0512,ETA_VIEWED,2026-08-18T18:46:00,mobile_app
ACT-00084,O00660,C0512,ETA_VIEWED,2026-08-18T18:37:00,mobile_app
ACT-00085,O00542,C0220,ETA_VIEWED,2026-08-19T20:05:00,mobile_app
ACT-00086,O00542,C0220,ETA_VIEWED,2026-08-19T20:19:00,mobile_app
ACT-00087,O01425,C0139,ETA_VIEWED,2026-08-26T14:22:00,mobile_app
ACT-00088,O01506,C0336,ETA_VIEWED,2026-08-27T16:34:00,mobile_app
ACT-00089,O01506,C0336,ETA_VIEWED,2026-08-27T16:24:00,mobile_app
ACT-00090,O01521,C0641,ETA_VIEWED,2026-08-05T14:42:00,mobile_app
ACT-00091,O01521,C0641,ETA_VIEWED,2026-08-05T14:35:00,mobile_app
ACT-00092,O01521,C0641,ETA_VIEWED,2026-08-05T14:35:00,mobile_app
ACT-00093,O01030,C0408,ETA_VIEWED,2026-08-16T17:48:00,mobile_app
ACT-00094,O01030,C0408,SUPPORT_OPENED,2026-08-16T18:51:48,mobile_app
ACT-00095,O00875,C0356,ETA_VIEWED,2026-08-10T23:49:00,mobile_app
ACT-00096,O00875,C0356,ETA_VIEWED,2026-08-10T23:38:00,mobile_app
ACT-00097,O00875,C0356,ETA_VIEWED,2026-08-10T23:37:00,mobile_app
ACT-00098,O00875,C0356,SUPPORT_OPENED,2026-08-11T00:28:37.298015,mobile_app
ACT-00099,O00602,C0556,ETA_VIEWED,2026-08-13T19:21:00,mobile_app
ACT-00100,O00494,C0055,ETA_VIEWED,2026-08-06T14:55:00,mobile_app
ACT-00101,O00494,C0055,ETA_VIEWED,2026-08-06T15:00:00,mobile_app
ACT-00102,O00494,C0055,ETA_VIEWED,2026-08-06T15:04:00,mobile_app
ACT-00103,O00386,C0101,ETA_VIEWED,2026-08-11T13:29:00,mobile_app
ACT-00104,O01162,C0637,ETA_VIEWED,2026-08-13T13:29:00,mobile_app
ACT-00105,O01162,C0637,ETA_VIEWED,2026-08-13T13:10:00,mobile_app
ACT-00106,O01162,C0637,ETA_VIEWED,2026-08-13T13:19:00,mobile_app
ACT-00107,O00323,C0496,ETA_VIEWED,2026-08-06T18:38:00,mobile_app
ACT-00108,O00323,C0496,ETA_VIEWED,2026-08-06T18:32:00,mobile_app
ACT-00109,O00323,C0496,ETA_VIEWED,2026-08-06T18:33:00,mobile_app
ACT-00110,O00061,C0352,ETA_VIEWED,2026-08-03T21:53:00,mobile_app
ACT-00111,O00581,C0537,ETA_VIEWED,2026-08-24T19:36:00,mobile_app
ACT-00112,O00581,C0537,ETA_VIEWED,2026-08-24T19:21:00,mobile_app
ACT-00113,O00239,C0519,ETA_VIEWED,2026-08-03T14:42:00,mobile_app
ACT-00114,O00454,C0179,ETA_VIEWED,2026-08-19T22:10:00,mobile_app
ACT-00115,O00454,C0179,ETA_VIEWED,2026-08-19T22:14:00,mobile_app
ACT-00116,O01160,C0498,ETA_VIEWED,2026-08-17T23:03:00,mobile_app
ACT-00117,O01160,C0498,ETA_VIEWED,2026-08-17T22:59:00,mobile_app
ACT-00118,O01160,C0498,SUPPORT_OPENED,2026-08-18T00:00:48,mobile_app
ACT-00119,O00886,C0282,ETA_VIEWED,2026-08-28T14:46:00,mobile_app
ACT-00120,O00400,C0851,ETA_VIEWED,2026-08-05T12:38:00,mobile_app
ACT-00121,O00400,C0851,ETA_VIEWED,2026-08-05T12:41:00,mobile_app
ACT-00122,O00400,C0851,ETA_VIEWED,2026-08-05T12:45:00,mobile_app
ACT-00123,O01497,C0574,ETA_VIEWED,2026-08-01T11:28:00,mobile_app
ACT-00124,O01497,C0574,ETA_VIEWED,2026-08-01T11:07:00,mobile_app
ACT-00125,O01497,C0574,ETA_VIEWED,2026-08-01T11:17:00,mobile_app
ACT-00126,O00359,C0536,ETA_VIEWED,2026-08-08T18:40:00,mobile_app
ACT-00127,O00359,C0536,SUPPORT_OPENED,2026-08-08T19:42:48,mobile_app
ACT-00128,O01167,C0446,ETA_VIEWED,2026-08-17T13:00:00,mobile_app
ACT-00129,O01167,C0446,SUPPORT_OPENED,2026-08-17T13:48:20.030887,mobile_app
ACT-00130,O00854,C0575,ETA_VIEWED,2026-08-22T19:14:00,mobile_app
ACT-00131,O00854,C0575,ETA_VIEWED,2026-08-22T19:11:00,mobile_app
ACT-00132,O00804,C0031,ETA_VIEWED,2026-08-11T14:52:00,mobile_app
ACT-00133,O00804,C0031,ETA_VIEWED,2026-08-11T14:37:00,mobile_app
ACT-00134,O00918,C0694,ETA_VIEWED,2026-08-23T12:12:00,mobile_app
ACT-00135,O00918,C0694,ETA_VIEWED,2026-08-23T12:17:00,mobile_app
ACT-00136,O00918,C0694,ETA_VIEWED,2026-08-23T12:09:00,mobile_app
ACT-00137,O01544,C0224,ETA_VIEWED,2026-08-11T17:46:00,mobile_app
ACT-00138,O01544,C0224,ETA_VIEWED,2026-08-11T18:03:00,mobile_app
ACT-00139,O00376,C0276,ETA_VIEWED,2026-08-15T12:15:00,mobile_app
ACT-00140,O00376,C0276,ETA_VIEWED,2026-08-15T12:32:00,mobile_app
ACT-00141,O00073,C0750,ETA_VIEWED,2026-08-27T14:03:00,mobile_app
ACT-00142,O00073,C0750,SUPPORT_OPENED,2026-08-27T14:51:58.916284,mobile_app
ACT-00143,O00059,C0242,ETA_VIEWED,2026-08-09T18:52:00,mobile_app
ACT-00144,O00439,C0642,ETA_VIEWED,2026-08-01T19:36:00,mobile_app
ACT-00145,O00439,C0642,ETA_VIEWED,2026-08-01T19:43:00,mobile_app
ACT-00146,O01249,C0826,ETA_VIEWED,2026-08-22T21:39:00,mobile_app
ACT-00147,O01249,C0826,ETA_VIEWED,2026-08-22T21:32:00,mobile_app
ACT-00148,O01249,C0826,ETA_VIEWED,2026-08-22T21:40:00,mobile_app
ACT-00149,O00099,C0046,ETA_VIEWED,2026-08-18T19:22:00,mobile_app
ACT-00150,O00099,C0046,ETA_VIEWED,2026-08-18T19:12:00,mobile_app
ACT-00151,O00588,C0740,ETA_VIEWED,2026-08-16T19:44:00,mobile_app
ACT-00152,O01047,C0518,ETA_VIEWED,2026-08-01T13:33:00,mobile_app
ACT-00153,O01047,C0518,ETA_VIEWED,2026-08-01T13:38:00,mobile_app
ACT-00154,O00788,C0500,ETA_VIEWED,2026-08-03T12:05:00,mobile_app
ACT-00155,O00788,C0500,ETA_VIEWED,2026-08-03T12:16:00,mobile_app
ACT-00156,O00788,C0500,ETA_VIEWED,2026-08-03T12:03:00,mobile_app
ACT-00157,O00855,C0377,ETA_VIEWED,2026-08-23T16:40:00,mobile_app
ACT-00158,O00855,C0377,ETA_VIEWED,2026-08-23T16:40:00,mobile_app
ACT-00159,O00855,C0377,ETA_VIEWED,2026-08-23T16:28:00,mobile_app
ACT-00160,O00202,C0028,ETA_VIEWED,2026-08-24T12:38:00,mobile_app
ACT-00161,O00202,C0028,ETA_VIEWED,2026-08-24T12:41:00,mobile_app
ACT-00162,O00202,C0028,ETA_VIEWED,2026-08-24T12:30:00,mobile_app
ACT-00163,O00725,C0812,ETA_VIEWED,2026-08-11T14:53:00,mobile_app
ACT-00164,O00725,C0812,ETA_VIEWED,2026-08-11T14:49:00,mobile_app
ACT-00165,O01021,C0290,ETA_VIEWED,2026-08-27T13:17:00,mobile_app
ACT-00166,O01021,C0290,ETA_VIEWED,2026-08-27T13:10:00,mobile_app
ACT-00167,O00792,C0871,ETA_VIEWED,2026-08-26T13:06:00,mobile_app
ACT-00168,O00286,C0714,ETA_VIEWED,2026-08-28T13:05:00,mobile_app
ACT-00169,O00286,C0714,ETA_VIEWED,2026-08-28T12:52:00,mobile_app
ACT-00170,O00124,C0471,ETA_VIEWED,2026-08-13T18:00:00,mobile_app
ACT-00171,O00124,C0471,ETA_VIEWED,2026-08-13T17:50:00,mobile_app
ACT-00172,O00124,C0471,ETA_VIEWED,2026-08-13T17:48:00,mobile_app
ACT-00173,O01590,C0232,ETA_VIEWED,2026-08-21T14:42:00,mobile_app
ACT-00174,O01590,C0232,ETA_VIEWED,2026-08-21T14:50:00,mobile_app
ACT-00175,O01590,C0232,SUPPORT_OPENED,2026-08-21T15:39:39.953893,mobile_app
ACT-00176,O00411,C0227,ETA_VIEWED,2026-08-07T19:09:00,mobile_app
ACT-00177,O00411,C0227,ETA_VIEWED,2026-08-07T19:23:00,mobile_app
ACT-00178,O00411,C0227,ETA_VIEWED,2026-08-07T19:03:00,mobile_app
ACT-00179,O00411,C0227,SUPPORT_OPENED,2026-08-07T20:19:36,mobile_app
ACT-00180,O00822,C0095,ETA_VIEWED,2026-08-04T16:37:00,mobile_app
ACT-00181,O00822,C0095,ETA_VIEWED,2026-08-04T16:22:00,mobile_app
ACT-00182,O00512,C0190,ETA_VIEWED,2026-08-27T19:18:00,mobile_app
ACT-00183,O00512,C0190,ETA_VIEWED,2026-08-27T19:18:00,mobile_app
ACT-00184,O00548,C0886,ETA_VIEWED,2026-08-04T15:47:00,mobile_app
ACT-00185,O00548,C0886,ETA_VIEWED,2026-08-04T15:55:00,mobile_app
ACT-00186,O00127,C0758,ETA_VIEWED,2026-08-03T17:37:00,mobile_app
ACT-00187,O00127,C0758,ETA_VIEWED,2026-08-03T17:41:00,mobile_app
ACT-00188,O00127,C0758,ETA_VIEWED,2026-08-03T17:23:00,mobile_app
ACT-00189,O00405,C0809,ETA_VIEWED,2026-08-20T21:18:00,mobile_app
ACT-00190,O01215,C0281,ETA_VIEWED,2026-08-26T22:32:00,mobile_app
ACT-00191,O01215,C0281,ETA_VIEWED,2026-08-26T22:30:00,mobile_app
ACT-00192,O01215,C0281,ETA_VIEWED,2026-08-26T22:34:00,mobile_app
ACT-00193,O01541,C0742,ETA_VIEWED,2026-08-25T18:33:00,mobile_app
ACT-00194,O01541,C0742,ETA_VIEWED,2026-08-25T18:32:00,mobile_app
ACT-00195,O01541,C0742,ETA_VIEWED,2026-08-25T18:33:00,mobile_app
ACT-00196,O01536,C0864,ETA_VIEWED,2026-08-06T13:21:00,mobile_app
ACT-00197,O01536,C0864,ETA_VIEWED,2026-08-06T13:26:00,mobile_app
ACT-00198,O01536,C0864,ETA_VIEWED,2026-08-06T13:21:00,mobile_app
ACT-00199,O00923,C0426,ETA_VIEWED,2026-08-28T22:39:00,mobile_app
ACT-00200,O00923,C0426,ETA_VIEWED,2026-08-28T22:28:00,mobile_app
ACT-00201,O00923,C0426,ETA_VIEWED,2026-08-28T22:17:00,mobile_app
ACT-00202,O00372,C0240,ETA_VIEWED,2026-08-05T19:44:00,mobile_app
ACT-00203,O01015,C0280,ETA_VIEWED,2026-08-22T13:11:00,mobile_app
ACT-00204,O00282,C0367,ETA_VIEWED,2026-08-21T22:24:00,mobile_app
ACT-00205,O00282,C0367,ETA_VIEWED,2026-08-21T22:13:00,mobile_app
ACT-00206,O01524,C0808,ETA_VIEWED,2026-08-15T15:34:00,mobile_app
ACT-00207,O01524,C0808,ETA_VIEWED,2026-08-15T15:17:00,mobile_app
ACT-00208,O01591,C0261,ETA_VIEWED,2026-08-12T12:52:00,mobile_app
ACT-00209,O00683,C0612,ETA_VIEWED,2026-08-10T12:06:00,mobile_app
ACT-00210,O00683,C0612,ETA_VIEWED,2026-08-10T12:24:00,mobile_app
ACT-00211,O01504,C0810,ETA_VIEWED,2026-08-14T19:00:00,mobile_app
ACT-00212,O01504,C0810,ETA_VIEWED,2026-08-14T19:14:00,mobile_app
ACT-00213,O01470,C0732,ETA_VIEWED,2026-08-19T17:52:00,mobile_app
ACT-00214,O01470,C0732,SUPPORT_OPENED,2026-08-19T18:39:02.627619,mobile_app
ACT-00215,O01078,C0563,ETA_VIEWED,2026-08-25T21:36:00,mobile_app
ACT-00216,O01078,C0563,ETA_VIEWED,2026-08-25T21:33:00,mobile_app
ACT-00217,O00388,C0181,ETA_VIEWED,2026-08-20T19:06:00,mobile_app
ACT-00218,O00388,C0181,ETA_VIEWED,2026-08-20T19:03:00,mobile_app
ACT-00219,O01361,C0131,ETA_VIEWED,2026-08-18T17:33:00,mobile_app
ACT-00220,O01361,C0131,ETA_VIEWED,2026-08-18T17:39:00,mobile_app
ACT-00221,O01277,C0798,ETA_VIEWED,2026-08-20T18:18:00,mobile_app
ACT-00222,O00553,C0398,ETA_VIEWED,2026-08-14T13:25:00,mobile_app
ACT-00223,O00553,C0398,ETA_VIEWED,2026-08-14T13:31:00,mobile_app
ACT-00224,O01128,C0512,ETA_VIEWED,2026-08-14T19:50:00,mobile_app
ACT-00225,O00096,C0757,ETA_VIEWED,2026-08-28T21:55:00,mobile_app
ACT-00226,O00096,C0757,ETA_VIEWED,2026-08-28T21:57:00,mobile_app
ACT-00227,O00684,C0331,ETA_VIEWED,2026-08-23T22:33:00,mobile_app
ACT-00228,O00684,C0331,SUPPORT_OPENED,2026-08-23T23:32:50.748754,mobile_app
ACT-00229,O01384,C0859,ETA_VIEWED,2026-08-27T11:32:00,mobile_app
ACT-00230,O01384,C0859,ETA_VIEWED,2026-08-27T11:50:00,mobile_app
ACT-00231,O00625,C0183,ETA_VIEWED,2026-08-12T17:41:00,mobile_app
ACT-00232,O00625,C0183,ETA_VIEWED,2026-08-12T17:31:00,mobile_app
ACT-00233,O00625,C0183,ETA_VIEWED,2026-08-12T17:49:00,mobile_app
ACT-00234,O00257,C0324,ETA_VIEWED,2026-08-20T14:45:00,mobile_app
ACT-00235,O00094,C0878,ETA_VIEWED,2026-08-19T17:04:00,mobile_app
ACT-00236,O00094,C0878,ETA_VIEWED,2026-08-19T16:57:00,mobile_app
ACT-00237,O00094,C0878,ETA_VIEWED,2026-08-19T17:12:00,mobile_app
ACT-00238,O00816,C0306,ETA_VIEWED,2026-08-22T17:53:00,mobile_app
ACT-00239,O00816,C0306,ETA_VIEWED,2026-08-22T17:47:00,mobile_app
ACT-00240,O00816,C0306,ETA_VIEWED,2026-08-22T17:53:00,mobile_app
ACT-00241,O00484,C0028,ETA_VIEWED,2026-08-21T21:05:00,mobile_app
ACT-00242,O00776,C0554,ETA_VIEWED,2026-08-21T20:29:00,mobile_app
ACT-00243,O00055,C0511,ETA_VIEWED,2026-08-16T13:12:00,mobile_app
ACT-00244,O00055,C0511,ETA_VIEWED,2026-08-16T13:10:00,mobile_app
ACT-00245,O00055,C0511,ETA_VIEWED,2026-08-16T12:58:00,mobile_app
ACT-00246,O00802,C0888,ETA_VIEWED,2026-08-08T19:16:00,mobile_app
ACT-00247,O00802,C0888,ETA_VIEWED,2026-08-08T19:30:00,mobile_app
ACT-00248,O00802,C0888,ETA_VIEWED,2026-08-08T19:27:00,mobile_app
ACT-00249,O00431,C0502,ETA_VIEWED,2026-08-15T12:53:00,mobile_app
ACT-00250,O00431,C0502,ETA_VIEWED,2026-08-15T13:05:00,mobile_app
ACT-00251,O00431,C0502,ETA_VIEWED,2026-08-15T12:58:00,mobile_app
ACT-00252,O00998,C0706,ETA_VIEWED,2026-08-16T15:38:00,mobile_app
ACT-00253,O00998,C0706,ETA_VIEWED,2026-08-16T15:16:00,mobile_app
ACT-00254,O00998,C0706,ETA_VIEWED,2026-08-16T15:16:00,mobile_app
ACT-00255,O01458,C0741,ETA_VIEWED,2026-08-05T20:58:00,mobile_app
ACT-00256,O01458,C0741,ETA_VIEWED,2026-08-05T21:00:00,mobile_app
ACT-00257,O00722,C0351,ETA_VIEWED,2026-08-24T19:27:00,mobile_app
ACT-00258,O00722,C0351,ETA_VIEWED,2026-08-24T19:08:00,mobile_app
ACT-00259,O00722,C0351,ETA_VIEWED,2026-08-24T19:18:00,mobile_app
ACT-00260,O01528,C0578,ETA_VIEWED,2026-08-08T17:30:00,mobile_app
ACT-00261,O01528,C0578,ETA_VIEWED,2026-08-08T17:39:00,mobile_app
ACT-00262,O00269,C0073,ETA_VIEWED,2026-08-19T20:47:00,mobile_app
ACT-00263,O00269,C0073,ETA_VIEWED,2026-08-19T20:49:00,mobile_app
ACT-00264,O00899,C0577,ETA_VIEWED,2026-08-14T16:00:00,mobile_app
ACT-00265,O00899,C0577,ETA_VIEWED,2026-08-14T15:57:00,mobile_app
ACT-00266,O00899,C0577,ETA_VIEWED,2026-08-14T15:56:00,mobile_app
ACT-00267,O01228,C0349,ETA_VIEWED,2026-08-25T14:40:00,mobile_app
ACT-00268,O01228,C0349,ETA_VIEWED,2026-08-25T14:37:00,mobile_app
ACT-00269,O01228,C0349,ETA_VIEWED,2026-08-25T14:39:00,mobile_app
ACT-00270,O01140,C0555,ETA_VIEWED,2026-08-19T23:22:00,mobile_app
ACT-00271,O01492,C0713,ETA_VIEWED,2026-08-06T13:19:00,mobile_app
ACT-00272,O01492,C0713,ETA_VIEWED,2026-08-06T13:30:00,mobile_app
ACT-00273,O01492,C0713,ETA_VIEWED,2026-08-06T13:32:00,mobile_app
ACT-00274,O00306,C0032,ETA_VIEWED,2026-08-26T13:05:00,mobile_app
ACT-00275,O01224,C0800,ETA_VIEWED,2026-08-26T11:53:00,mobile_app
ACT-00276,O01224,C0800,ETA_VIEWED,2026-08-26T12:03:00,mobile_app
ACT-00277,O01582,C0250,ETA_VIEWED,2026-08-21T20:25:00,mobile_app
ACT-00278,O01428,C0232,ETA_VIEWED,2026-08-19T21:45:00,mobile_app
ACT-00279,O01428,C0232,ETA_VIEWED,2026-08-19T21:49:00,mobile_app
ACT-00280,O00650,C0580,ETA_VIEWED,2026-08-17T17:10:00,mobile_app
ACT-00281,O00650,C0580,ETA_VIEWED,2026-08-17T17:14:00,mobile_app
ACT-00282,O00650,C0580,ETA_VIEWED,2026-08-17T17:13:00,mobile_app
ACT-00283,O00582,C0547,ETA_VIEWED,2026-08-13T13:13:00,mobile_app
ACT-00284,O00582,C0547,ETA_VIEWED,2026-08-13T13:13:00,mobile_app
ACT-00285,O00582,C0547,ETA_VIEWED,2026-08-13T13:18:00,mobile_app
ACT-00286,O00033,C0536,ETA_VIEWED,2026-08-06T23:53:00,mobile_app
ACT-00287,O00033,C0536,ETA_VIEWED,2026-08-06T23:31:00,mobile_app
ACT-00288,O00033,C0536,SUPPORT_OPENED,2026-08-07T00:50:48,mobile_app
ACT-00289,O00214,C0687,ETA_VIEWED,2026-08-17T19:08:00,mobile_app
ACT-00290,O00214,C0687,ETA_VIEWED,2026-08-17T18:59:00,mobile_app
ACT-00291,O00214,C0687,ETA_VIEWED,2026-08-17T18:44:00,mobile_app
ACT-00292,O00275,C0731,ETA_VIEWED,2026-08-15T20:18:00,mobile_app
ACT-00293,O00275,C0731,ETA_VIEWED,2026-08-15T20:17:00,mobile_app
ACT-00294,O01233,C0426,ETA_VIEWED,2026-08-05T19:16:00,mobile_app
ACT-00295,O01233,C0426,SUPPORT_OPENED,2026-08-05T20:03:47.230763,mobile_app
ACT-00296,O00525,C0280,ETA_VIEWED,2026-08-10T23:07:00,mobile_app
ACT-00297,O01093,C0064,ETA_VIEWED,2026-08-04T17:28:00,mobile_app
ACT-00298,O01093,C0064,ETA_VIEWED,2026-08-04T17:15:00,mobile_app
ACT-00299,O00260,C0296,ETA_VIEWED,2026-08-09T19:10:00,mobile_app
ACT-00300,O00260,C0296,SUPPORT_OPENED,2026-08-09T20:27:11.024973,mobile_app
ACT-00301,O01577,C0540,ETA_VIEWED,2026-08-23T18:30:00,mobile_app
ACT-00302,O01577,C0540,ETA_VIEWED,2026-08-23T18:37:00,mobile_app
ACT-00303,O00445,C0741,ETA_VIEWED,2026-08-06T22:02:00,mobile_app
ACT-00304,O00071,C0391,ETA_VIEWED,2026-08-21T18:34:00,mobile_app
ACT-00305,O00071,C0391,ETA_VIEWED,2026-08-21T18:46:00,mobile_app
ACT-00306,O00071,C0391,ETA_VIEWED,2026-08-21T18:44:00,mobile_app
ACT-00307,O00071,C0391,SUPPORT_OPENED,2026-08-21T19:49:00.964322,mobile_app
ACT-00308,O00294,C0761,ETA_VIEWED,2026-08-20T20:03:00,mobile_app
ACT-00309,O00294,C0761,ETA_VIEWED,2026-08-20T19:44:00,mobile_app
ACT-00310,O01118,C0210,ETA_VIEWED,2026-08-19T20:48:00,mobile_app
ACT-00311,O01118,C0210,ETA_VIEWED,2026-08-19T20:47:00,mobile_app
ACT-00312,O01118,C0210,ETA_VIEWED,2026-08-19T20:40:00,mobile_app
ACT-00313,O00344,C0851,ETA_VIEWED,2026-08-03T20:00:00,mobile_app
ACT-00314,O00344,C0851,ETA_VIEWED,2026-08-03T20:05:00,mobile_app
ACT-00315,O01374,C0288,ETA_VIEWED,2026-08-27T18:30:00,mobile_app
