order_id,final_status_norm,delivered_flag,late_flag,delay_min,outcome_bucket
O00066,delivered,1,1.0,0.67,delivered_late
O00067,delivered,1,1.0,6.87,delivered_late
O00068,delivered,1,0.0,-1.26,delivered_on_time
O00069,delivered,1,0.0,-1.34,delivered_on_time
O00070,delivered,1,0.0,-17.94,delivered_on_time
O00071,delivered,1,1.0,11.74,delivered_late
O00072,delivered,1,1.0,7.35,delivered_late
O00073,delivered,1,1.0,13.55,delivered_late
O00074,delivered,1,1.0,7.59,delivered_late
O00075,cancelled,0,,,cancelled
O00076,delivered,1,1.0,3.03,delivered_late
O00077,delivered,1,1.0,26.54,delivered_late
O00078,delivered,1,0.0,-5.14,delivered_on_time
O00079,delivered,1,1.0,1.54,delivered_late
O00080,delivered,1,1.0,22.51,delivered_late
O00081,delivered,1,0.0,-7.14,delivered_on_time
O00082,delivered,1,0.0,-8.22,delivered_on_time
O00083,delivered,1,1.0,2.37,delivered_late
O00084,delivered,1,0.0,-7.56,delivered_on_time
O00085,delivered,1,0.0,-0.41,delivered_on_time
O00086,delivered,1,0.0,-1.02,delivered_on_time
O00087,delivered,1,0.0,-8.77,delivered_on_time
O00088,delivered,1,0.0,-0.28,delivered_on_time
O00089,delivered,1,1.0,10.85,delivered_late
O00090,delivered,1,1.0,20.26,delivered_late
O00091,delivered,1,0.0,-2.02,delivered_on_time
O00092,delivered,1,1.0,3.6,delivered_late
O00093,delivered,1,1.0,1.29,delivered_late
O00094,delivered,1,1.0,19.56,delivered_late
O00095,delivered,1,,,unknown
O00096,delivered,1,0.0,-4.76,delivered_on_time
O00097,delivered,1,1.0,7.3,delivered_late
O00098,delivered,1,1.0,10.63,delivered_late
O00099,delivered,1,1.0,2.59,delivered_late
O00100,delivered,1,1.0,1.45,delivered_late
O00101,delivered,1,1.0,85.51,delivered_late
O00102,delivered,1,1.0,86.29,delivered_late
O00103,delivered,1,1.0,69.29,delivered_late
O00104,delivered,1,1.0,87.35,delivered_late
O00105,delivered,1,0.0,-9.39,delivered_on_time
O00106,delivered,1,0.0,-14.3,delivered_on_time
O00107,delivered,1,0.0,-0.78,delivered_on_time
O00108,delivered,1,0.0,-8.26,delivered_on_time
O00109,delivered,1,0.0,-3.2,delivered_on_time
O00110,delivered,1,1.0,21.33,delivered_late
O00111,delivered,1,1.0,15.75,delivered_late
O00112,delivered,1,0.0,-10.44,delivered_on_time
O00113,delivered,1,1.0,19.15,delivered_late
O00114,delivered,1,1.0,6.21,delivered_late
O00115,delivered,1,0.0,-8.72,delivered_on_time
O00116,delivered,1,1.0,12.79,delivered_late
O00117,delivered,1,0.0,-3.19,delivered_on_time
O00118,delivered,1,1.0,8.58,delivered_late
O00119,delivered,1,1.0,12.93,delivered_late
O00120,delivered,1,0.0,-6.26,delivered_on_time
O00121,delivered,1,1.0,20.32,delivered_late
O00122,delivered,1,1.0,1.27,delivered_late
O00123,delivered,1,0.0,-6.99,delivered_on_time
O00124,delivered,1,0.0,-2.9,delivered_on_time
O00125,delivered,1,1.0,1.44,delivered_late
O00126,delivered,1,1.0,12.44,delivered_late
O00127,delivered,1,,,unknown
O00128,delivered,1,0.0,-0.17,delivered_on_time
O00129,cancelled,0,,,cancelled
O00130,delivered,1,0.0,-2.71,delivered_on_time
O00131,delivered,1,1.0,14.52,delivered_late
O00132,delivered,1,1.0,13.35,delivered_late
O00133,delivered,1,0.0,-3.67,delivered_on_time
O00134,delivered,1,1.0,4.94,delivered_late
O00135,delivered,1,0.0,-3.8,delivered_on_time
O00136,delivered,1,0.0,-3.86,delivered_on_time
O00137,delivered,1,1.0,8.18,delivered_late
O00138,delivered,1,0.0,-1.91,delivered_on_time
O00139,delivered,1,1.0,0.81,delivered_late
O00140,delivered,1,0.0,-15.35,delivered_on_time
O00141,delivered,1,1.0,1.52,delivered_late
O00142,delivered,1,0.0,-13.14,delivered_on_time
O00143,delivered,1,0.0,-2.27,delivered_on_time
O00144,delivered,1,1.0,7.13,delivered_late
O00145,delivered,1,1.0,2.87,delivered_late
O00146,delivered,1,0.0,-12.02,delivered_on_time
O00147,delivered,1,1.0,22.74,delivered_late
O00148,delivered,1,1.0,0.53,delivered_late
O00149,delivered,1,1.0,7.95,delivered_late
O00150,delivered,1,1.0,11.41,delivered_late
O00151,delivered,1,1.0,28.23,delivered_late
O00152,delivered,1,1.0,13.76,delivered_late
O00153,delivered,1,0.0,-7.53,delivered_on_time
O00154,cancelled,0,,,cancelled
O00155,delivered,1,1.0,19.35,delivered_late
O00156,delivered,1,0.0,-5.12,delivered_on_time
O00157,delivered,1,0.0,-0.04,delivered_on_time
O00158,delivered,1,1.0,6.82,delivered_late
O00159,delivered,1,0.0,-1.72,delivered_on_time
O00160,delivered,1,1.0,2.11,delivered_late
O00161,delivered,1,1.0,6.17,delivered_late
O00162,delivered,1,1.0,8.42,delivered_late
O00163,delivered,1,0.0,-4.42,delivered_on_time
O00164,delivered,1,0.0,-3.43,delivered_on_time
O00165,delivered,1,1.0,0.61,delivered_late
O00166,delivered,1,0.0,-5.26,delivered_on_time
O00167,delivered,1,0.0,-0.48,delivered_on_time
O00168,delivered,1,0.0,-2.96,delivered_on_time
O00169,delivered,1,1.0,28.95,delivered_late
O00170,delivered,1,1.0,4.64,delivered_late
O00171,delivered,1,1.0,28.35,delivered_late
O00172,delivered,1,0.0,-2.06,delivered_on_time
O00173,cancelled,0,,,cancelled
O00174,delivered,1,1.0,15.11,delivered_late
O00175,delivered,1,0.0,-6.19,delivered_on_time
O00176,delivered,1,1.0,13.07,delivered_late
O00177,delivered,1,0.0,-3.52,delivered_on_time
O00178,delivered,1,1.0,18.41,delivered_late
O00179,delivered,1,1.0,5.94,delivered_late
O00180,delivered,1,1.0,14.77,delivered_late
O00181,delivered,1,1.0,4.42,delivered_late
O00182,delivered,1,1.0,14.5,delivered_late
O00183,delivered,1,1.0,1.19,delivered_late
O00184,delivered,1,0.0,-2.43,delivered_on_time
O00185,delivered,1,0.0,-7.71,delivered_on_time
O00186,delivered,1,0.0,-4.39,delivered_on_time
O00187,delivered,1,0.0,-17.47,delivered_on_time
O00188,delivered,1,1.0,20.15,delivered_late
O00189,delivered,1,1.0,4.67,delivered_late
O00190,delivered,1,0.0,-6.32,delivered_on_time
O00191,delivered,1,0.0,-9.12,delivered_on_time
O00192,delivered,1,1.0,0.29,delivered_late
O00193,delivered,1,0.0,-0.03,delivered_on_time
O00194,delivered,1,1.0,38.34,delivered_late
O00195,delivered,1,0.0,-12.14,delivered_on_time
O00196,delivered,1,1.0,3.17,delivered_late
O00197,delivered,1,0.0,-0.76,delivered_on_time
O00198,delivered,1,1.0,35.23,delivered_late
O00199,cancelled,0,,,cancelled
O00200,delivered,1,0.0,-5.87,delivered_on_time
O00201,delivered,1,0.0,-4.73,delivered_on_time
O00202,delivered,1,1.0,1.77,delivered_late
O00203,delivered,1,0.0,-8.01,delivered_on_time
O00204,delivered,1,1.0,13.76,delivered_late
O00205,delivered,1,1.0,26.79,delivered_late
O00206,delivered,1,,,unknown
O00207,delivered,1,1.0,11.38,delivered_late
O00208,delivered,1,1.0,16.4,delivered_late
O00209,delivered,1,1.0,8.68,delivered_late
O00210,delivered,1,1.0,6.31,delivered_late
O00211,delivered,1,1.0,32.38,delivered_late
O00212,delivered,1,0.0,-1.22,delivered_on_time
O00213,delivered,1,0.0,-5.59,delivered_on_time
O00214,delivered,1,1.0,9.01,delivered_late
O00215,delivered,1,0.0,-7.22,delivered_on_time
O00216,delivered,1,0.0,-7.66,delivered_on_time
O00217,delivered,1,1.0,13.54,delivered_late
O00218,delivered,1,1.0,10.29,delivered_late
O00219,delivered,1,1.0,5.37,delivered_late
O00220,delivered,1,0.0,-10.59,delivered_on_time
O00221,cancelled,0,,,cancelled
O00222,delivered,1,0.0,-3.98,delivered_on_time
O00223,delivered,1,1.0,0.21,delivered_late
O00224,delivered,1,0.0,-5.48,delivered_on_time
O00225,delivered,1,0.0,-4.04,delivered_on_time
O00226,delivered,1,0.0,-4.13,delivered_on_time
O00227,delivered,1,0.0,-11.77,delivered_on_time
O00228,delivered,1,0.0,-9.78,delivered_on_time
O00229,delivered,1,0.0,-1.17,delivered_on_time
O00230,delivered,1,1.0,7.97,delivered_late
O00231,delivered,1,0.0,-7.54,delivered_on_time
O00232,delivered,1,0.0,-2.63,delivered_on_time
O00233,delivered,1,0.0,-1.94,delivered_on_time
O00234,delivered,1,0.0,-4.04,delivered_on_time
O00235,delivered,1,1.0,8.44,delivered_late
O00236,delivered,1,0.0,-1.09,delivered_on_time
O00237,delivered,1,0.0,-3.13,delivered_on_time
O00238,delivered,1,0.0,-3.98,delivered_on_time
O00239,delivered,1,1.0,2.34,delivered_late
O00240,delivered,1,1.0,15.05,delivered_late
O00241,delivered,1,1.0,14.35,delivered_late
O00242,delivered,1,1.0,5.74,delivered_late
O00243,delivered,1,1.0,6.21,delivered_late
O00244,delivered,1,0.0,-4.49,delivered_on_time
O00245,delivered,1,0.0,-3.39,delivered_on_time
O00246,delivered,1,0.0,-15.08,delivered_on_time
O00247,delivered,1,0.0,-8.97,delivered_on_time
O00248,delivered,1,0.0,-6.35,delivered_on_time
O00249,delivered,1,1.0,6.77,delivered_late
O00250,delivered,1,1.0,1.31,delivered_late
O00251,delivered,1,0.0,-4.61,delivered_on_time
O00252,delivered,1,0.0,-9.06,delivered_on_time
O00253,delivered,1,1.0,18.64,delivered_late
O00254,delivered,1,0.0,-3.82,delivered_on_time
O00255,delivered,1,0.0,-0.8,delivered_on_time
O00256,delivered,1,1.0,15.57,delivered_late
O00257,delivered,1,1.0,4.17,delivered_late
O00258,delivered,1,1.0,8.89,delivered_late
O00259,delivered,1,1.0,1.2,delivered_late
O00260,delivered,1,1.0,9.83,delivered_late
O00261,delivered,1,1.0,3.87,delivered_late
O00262,delivered,1,0.0,-8.62,delivered_on_time
O00263,delivered,1,1.0,3.59,delivered_late
O00264,delivered,1,1.0,4.88,delivered_late
O00265,cancelled,0,,,cancelled
O00266,delivered,1,0.0,-1.58,delivered_on_time
O00267,delivered,1,1.0,8.89,delivered_late
O00268,delivered,1,1.0,18.54,delivered_late
O00269,delivered,1,1.0,2.03,delivered_late
O00270,delivered,1,1.0,13.47,delivered_late
O00271,delivered,1,1.0,5.78,delivered_late
O00272,delivered,1,1.0,5.1,delivered_late
O00273,cancelled,0,,,cancelled
O00274,delivered,1,0.0,-9.34,delivered_on_time
O00275,delivered,1,0.0,-1.83,delivered_on_time
O00276,delivered,1,1.0,5.83,delivered_late
O00277,delivered,1,0.0,-5.27,delivered_on_time
O00278,delivered,1,1.0,0.46,delivered_late
O00279,cancelled,0,,,cancelled
O00280,delivered,1,1.0,5.1,delivered_late
O00281,delivered,1,0.0,-1.78,delivered_on_time
O00282,cancelled,0,,,cancelled
O00283,delivered,1,0.0,-9.63,delivered_on_time
O00284,delivered,1,0.0,-0.43,delivered_on_time
O00285,delivered,1,1.0,3.46,delivered_late
O00286,delivered,1,,,unknown
O00287,delivered,1,1.0,16.46,delivered_late
O00288,delivered,1,1.0,19.09,delivered_late
O00289,cancelled,0,,,cancelled
O00290,delivered,1,1.0,1.15,delivered_late
O00291,delivered,1,0.0,-2.4,delivered_on_time
O00292,delivered,1,1.0,9.25,delivered_late
O00293,delivered,1,1.0,5.34,delivered_late
O00294,delivered,1,0.0,-2.91,delivered_on_time
O00295,delivered,1,1.0,21.25,delivered_late
O00296,delivered,1,1.0,3.43,delivered_late
O00297,delivered,1,1.0,9.78,delivered_late
O00298,delivered,1,0.0,-6.51,delivered_on_time
O00299,delivered,1,0.0,-0.33,delivered_on_time
O00300,delivered,1,0.0,-5.9,delivered_on_time
O00301,delivered,1,1.0,15.79,delivered_late
O00302,delivered,1,1.0,26.32,delivered_late
O00303,delivered,1,1.0,33.16,delivered_late
O00304,delivered,1,0.0,-6.19,delivered_on_time
O00305,delivered,1,1.0,0.25,delivered_late
O00306,delivered,1,1.0,6.76,delivered_late
O00307,cancelled,0,,,cancelled
O00308,delivered,1,1.0,5.59,delivered_late
O00309,delivered,1,0.0,-7.02,delivered_on_time
O00310,delivered,1,1.0,5.79,delivered_late
O00311,delivered,1,1.0,11.76,delivered_late
O00312,cancelled,0,,,cancelled
O00313,delivered,1,1.0,12.97,delivered_late
O00314,delivered,1,0.0,-11.36,delivered_on_time
O00315,delivered,1,0.0,-15.01,delivered_on_time
O00316,delivered,1,1.0,8.03,delivered_late
O00317,delivered,1,0.0,-2.96,delivered_on_time
O00318,delivered,1,1.0,12.82,delivered_late
O00319,delivered,1,1.0,24.14,delivered_late
O00320,delivered,1,0.0,-12.51,delivered_on_time
O00321,delivered,1,0.0,-11.52,delivered_on_time
O00322,delivered,1,1.0,22.21,delivered_late
O00323,delivered,1,0.0,-6.43,delivered_on_time
O00324,delivered,1,0.0,-8.12,delivered_on_time
O00325,delivered,1,0.0,-1.83,delivered_on_time
O00326,delivered,1,1.0,5.13,delivered_late
O00327,delivered,1,1.0,3.36,delivered_late
O00328,delivered,1,0.0,-7.4,delivered_on_time
O00329,delivered,1,1.0,20.72,delivered_late
O00330,delivered,1,1.0,2.87,delivered_late
O00331,delivered,1,1.0,21.98,delivered_late
O00332,delivered,1,0.0,-3.44,delivered_on_time
O00333,delivered,1,1.0,5.6,delivered_late
O00334,delivered,1,0.0,-5.27,delivered_on_time
O00335,delivered,1,1.0,20.99,delivered_late
O00336,delivered,1,1.0,0.09,delivered_late
O00337,cancelled,0,,,cancelled
O00338,delivered,1,1.0,19.66,delivered_late
O00339,delivered,1,0.0,-0.54,delivered_on_time
O00340,delivered,1,1.0,23.02,delivered_late
O00341,delivered,1,,,unknown
O00342,delivered,1,1.0,1.18,delivered_late
O00343,delivered,1,1.0,6.06,delivered_late
O00344,delivered,1,0.0,-6.69,delivered_on_time
O00345,delivered,1,1.0,10.85,delivered_late
O00346,delivered,1,0.0,-3.29,delivered_on_time
O00347,delivered,1,0.0,-5.14,delivered_on_time
O00348,delivered,1,1.0,21.11,delivered_late
O00349,delivered,1,1.0,8.2,delivered_late
O00350,delivered,1,0.0,-8.96,delivered_on_time
O00351,delivered,1,1.0,5.36,delivered_late
O00352,delivered,1,1.0,21.41,delivered_late
O00353,delivered,1,0.0,-2.54,delivered_on_time
O00354,delivered,1,1.0,3.17,delivered_late
O00355,delivered,1,1.0,4.36,delivered_late
O00356,delivered,1,1.0,4.1,delivered_late
O00357,delivered,1,0.0,-4.76,delivered_on_time
O00358,delivered,1,1.0,6.66,delivered_late
O00359,delivered,1,1.0,14.37,delivered_late
O00360,delivered,1,1.0,9.63,delivered_late
O00361,delivered,1,0.0,-0.4,delivered_on_time
O00362,cancelled,0,,,cancelled
O00363,delivered,1,0.0,-18.55,delivered_on_time
O00364,delivered,1,1.0,8.54,delivered_late
O00365,delivered,1,1.0,11.33,delivered_late
O00366,delivered,1,1.0,12.28,delivered_late
O00367,delivered,1,0.0,-7.63,delivered_on_time
O00368,delivered,1,1.0,1.16,delivered_late
O00369,delivered,1,1.0,4.08,delivered_late
O00370,delivered,1,0.0,-0.31,delivered_on_time
O00371,delivered,1,1.0,2.07,delivered_late
O00372,delivered,1,1.0,1.36,delivered_late
O00373,delivered,1,0.0,-3.96,delivered_on_time
O00374,delivered,1,1.0,6.27,delivered_late
O00375,delivered,1,0.0,-3.26,delivered_on_time
O00376,delivered,1,0.0,-2.37,delivered_on_time
O00377,delivered,1,1.0,0.53,delivered_late
O00378,delivered,1,1.0,8.64,delivered_late
O00379,delivered,1,0.0,-14.2,delivered_on_time
O00380,delivered,1,0.0,-12.07,delivered_on_time
O00381,delivered,1,0.0,-1.94,delivered_on_time
O00382,delivered,1,1.0,17.83,delivered_late
O00383,delivered,1,1.0,21.86,delivered_late
O00384,cancelled,0,,,cancelled
O00385,delivered,1,1.0,22.5,delivered_late
O00386,delivered,1,0.0,-4.89,delivered_on_time
O00387,delivered,1,1.0,18.23,delivered_late
O00388,delivered,1,1.0,10.74,delivered_late
O00389,delivered,1,1.0,8.2,delivered_late
O00390,delivered,1,0.0,-9.64,delivered_on_time
O00391,delivered,1,1.0,14.11,delivered_late
O00392,delivered,1,1.0,4.35,delivered_late
O00393,delivered,1,1.0,24.9,delivered_late
O00394,delivered,1,0.0,-1.65,delivered_on_time
O00395,delivered,1,1.0,4.58,delivered_late
O00396,delivered,1,0.0,-0.99,delivered_on_time
O00397,delivered,1,1.0,15.25,delivered_late
O00398,delivered,1,1.0,3.84,delivered_late
O00399,delivered,1,1.0,14.34,delivered_late
O00400,delivered,1,1.0,13.52,delivered_late
O00401,delivered,1,1.0,9.0,delivered_late
O00402,delivered,1,0.0,-5.4,delivered_on_time
O00403,delivered,1,1.0,17.48,delivered_late
O00404,delivered,1,1.0,19.13,delivered_late
O00405,delivered,1,0.0,-12.27,delivered_on_time
O00406,delivered,1,0.0,-12.71,delivered_on_time
O00407,delivered,1,0.0,-10.17,delivered_on_time
O00408,delivered,1,1.0,17.62,delivered_late
O00409,delivered,1,1.0,27.39,delivered_late
O00410,delivered,1,0.0,-8.33,delivered_on_time
O00411,delivered,1,1.0,8.99,delivered_late
O00412,delivered,1,0.0,-1.45,delivered_on_time
O00413,delivered,1,1.0,11.09,delivered_late
O00414,delivered,1,0.0,-1.1,delivered_on_time
O00415,delivered,1,1.0,5.48,delivered_late
O00416,delivered,1,1.0,17.6,delivered_late
O00417,delivered,1,,,unknown
O00418,delivered,1,0.0,-8.76,delivered_on_time
O00419,delivered,1,0.0,-6.98,delivered_on_time
O00420,delivered,1,0.0,-12.91,delivered_on_time
O00421,delivered,1,0.0,-8.29,delivered_on_time
O00422,delivered,1,1.0,5.63,delivered_late
O00423,delivered,1,1.0,9.36,delivered_late
O00424,delivered,1,0.0,-5.52,delivered_on_time
O00425,delivered,1,0.0,-3.18,delivered_on_time
O00426,delivered,1,0.0,-9.4,delivered_on_time
O00427,delivered,1,0.0,-17.32,delivered_on_time
O00428,delivered,1,1.0,8.51,delivered_late
O00429,delivered,1,0.0,-9.93,delivered_on_time
O00430,delivered,1,1.0,9.26,delivered_late
O00431,delivered,1,1.0,14.34,delivered_late
O00432,cancelled,0,,,cancelled
O00433,delivered,1,1.0,9.35,delivered_late
O00434,delivered,1,1.0,7.3,delivered_late
O00435,delivered,1,1.0,6.19,delivered_late
O00436,delivered,1,1.0,0.6,delivered_late
O00437,delivered,1,1.0,6.12,delivered_late
O00438,delivered,1,0.0,-7.03,delivered_on_time
O00439,delivered,1,0.0,-8.63,delivered_on_time
O00440,delivered,1,0.0,-1.31,delivered_on_time
O00441,delivered,1,1.0,0.02,delivered_late
O00442,delivered,1,1.0,5.53,delivered_late
O00443,delivered,1,1.0,0.21,delivered_late
O00444,delivered,1,1.0,3.58,delivered_late
O00445,delivered,1,1.0,2.93,delivered_late
O00446,delivered,1,1.0,21.11,delivered_late
O00447,delivered,1,0.0,-5.06,delivered_on_time
O00448,delivered,1,0.0,-13.01,delivered_on_time
O00449,delivered,1,1.0,3.92,delivered_late
O00450,delivered,1,1.0,0.27,delivered_late
O00451,delivered,1,0.0,-14.31,delivered_on_time
O00452,delivered,1,0.0,-9.64,delivered_on_time
O00453,delivered,1,0.0,-7.74,delivered_on_time
O00454,delivered,1,0.0,-1.08,delivered_on_time
O00455,delivered,1,0.0,-7.84,delivered_on_time
O00456,delivered,1,0.0,-9.0,delivered_on_time
O00457,cancelled,0,,,cancelled
O00458,delivered,1,1.0,5.44,delivered_late
O00459,delivered,1,1.0,3.95,delivered_late
O00460,delivered,1,1.0,36.88,delivered_late
O00461,delivered,1,1.0,11.38,delivered_late
O00462,delivered,1,0.0,-1.25,delivered_on_time
O00463,delivered,1,0.0,-9.91,delivered_on_time
O00464,delivered,1,1.0,1.6,delivered_late
O00465,delivered,1,1.0,6.57,delivered_late
O00466,delivered,1,0.0,-16.42,delivered_on_time
O00467,delivered,1,0.0,-12.16,delivered_on_time
O00468,delivered,1,0.0,-1.85,delivered_on_time
O00469,delivered,1,0.0,-4.38,delivered_on_time
O00470,delivered,1,1.0,0.79,delivered_late
O00471,delivered,1,1.0,7.43,delivered_late
O00472,delivered,1,1.0,14.24,delivered_late
O00473,delivered,1,1.0,46.21,delivered_late
O00474,delivered,1,0.0,-6.21,delivered_on_time
O00475,delivered,1,0.0,-6.81,delivered_on_time
O00476,delivered,1,1.0,14.15,delivered_late
O00477,delivered,1,1.0,8.37,delivered_late
O00478,delivered,1,0.0,-6.04,delivered_on_time
O00479,cancelled,0,,,cancelled
O00480,delivered,1,1.0,15.47,delivered_late
O00481,delivered,1,1.0,4.43,delivered_late
O00482,delivered,1,0.0,-6.11,delivered_on_time
O00483,delivered,1,0.0,-3.89,delivered_on_time
O00484,delivered,1,1.0,0.48,delivered_late
O00485,delivered,1,1.0,1.18,delivered_late
O00486,delivered,1,1.0,2.23,delivered_late
O00487,delivered,1,1.0,11.35,delivered_late
O00488,delivered,1,,,unknown
O00489,delivered,1,1.0,4.51,delivered_late
O00490,delivered,1,1.0,6.25,delivered_late
O00491,delivered,1,1.0,14.34,delivered_late
O00492,cancelled,0,,,cancelled
O00493,delivered,1,0.0,-3.76,delivered_on_time
O00494,delivered,1,0.0,-6.73,delivered_on_time
O00495,cancelled,0,,,cancelled
O00496,delivered,1,0.0,-13.84,delivered_on_time
O00497,delivered,1,1.0,31.78,delivered_late
O00498,cancelled,0,,,cancelled
O00499,delivered,1,1.0,7.12,delivered_late
O00500,delivered,1,0.0,-11.3,delivered_on_time
O00501,delivered,1,1.0,0.77,delivered_late
O00502,delivered,1,1.0,0.49,delivered_late
O00503,delivered,1,0.0,-0.79,delivered_on_time
O00504,delivered,1,1.0,8.18,delivered_late
O00505,delivered,1,1.0,4.26,delivered_late
O00506,delivered,1,0.0,-7.33,delivered_on_time
O00507,delivered,1,0.0,-0.95,delivered_on_time
O00508,delivered,1,1.0,11.88,delivered_late
O00509,delivered,1,0.0,-8.56,delivered_on_time
O00510,delivered,1,1.0,5.23,delivered_late
O00511,delivered,1,0.0,-1.56,delivered_on_time
O00512,delivered,1,0.0,-3.35,delivered_on_time
O00513,delivered,1,1.0,22.82,delivered_late
O00514,delivered,1,0.0,-0.32,delivered_on_time
O00515,delivered,1,1.0,6.63,delivered_late
O00516,delivered,1,0.0,-9.13,delivered_on_time
O00517,delivered,1,1.0,4.98,delivered_late
O00518,delivered,1,0.0,-1.48,delivered_on_time
O00519,delivered,1,1.0,5.08,delivered_late
O00520,delivered,1,1.0,2.21,delivered_late
O00521,delivered,1,0.0,-1.1,delivered_on_time
O00522,delivered,1,1.0,4.28,delivered_late
O00523,delivered,1,1.0,10.29,delivered_late
O00524,delivered,1,1.0,0.9,delivered_late
O00525,delivered,1,1.0,6.9,delivered_late
O00526,delivered,1,1.0,22.59,delivered_late
O00527,delivered,1,1.0,16.88,delivered_late
O00528,delivered,1,0.0,-13.92,delivered_on_time
O00529,cancelled,0,,,cancelled
O00530,delivered,1,0.0,-9.44,delivered_on_time
O00531,cancelled,0,,,cancelled
O00532,delivered,1,0.0,-3.23,delivered_on_time
O00533,delivered,1,1.0,12.37,delivered_late
O00534,delivered,1,1.0,2.03,delivered_late
O00535,delivered,1,1.0,6.83,delivered_late
O00536,delivered,1,0.0,-4.81,delivered_on_time
O00537,delivered,1,0.0,-2.42,delivered_on_time
O00538,delivered,1,0.0,-2.5,delivered_on_time
O00539,delivered,1,1.0,23.28,delivered_late
O00540,delivered,1,1.0,3.84,delivered_late
O00541,delivered,1,1.0,0.07,delivered_late
O00542,delivered,1,0.0,-11.67,delivered_on_time
O00543,delivered,1,0.0,-1.74,delivered_on_time
O00544,delivered,1,1.0,24.92,delivered_late
O00545,delivered,1,0.0,-4.57,delivered_on_time
O00546,delivered,1,1.0,13.51,delivered_late
O00547,delivered,1,1.0,14.94,delivered_late
O00548,delivered,1,,,unknown
O00549,delivered,1,0.0,-15.56,delivered_on_time
O00550,delivered,1,0.0,-3.73,delivered_on_time
O00551,delivered,1,1.0,11.74,delivered_late
O00552,delivered,1,0.0,-4.0,delivered_on_time
O00553,delivered,1,1.0,0.09,delivered_late
O00554,delivered,1,0.0,-0.44,delivered_on_time
O00555,delivered,1,1.0,6.99,delivered_late
O00556,delivered,1,1.0,16.78,delivered_late
O00557,delivered,1,1.0,15.0,delivered_late
O00558,delivered,1,0.0,-1.33,delivered_on_time
O00559,delivered,1,1.0,12.12,delivered_late
O00560,delivered,1,0.0,-5.89,delivered_on_time
O00561,delivered,1,1.0,17.6,delivered_late
