order_id,restaurant_id,status,last_updated_at
O01280,R020,handed_off,2026-08-22T20:45:00
O01516,R046,ready,2026-08-08T14:30:00
O01384,R039,ready,2026-08-27T11:31:00
O00109,R002,preparing,2026-08-28T19:08:00
O01367,R034,handed_off,2026-08-03T13:46:00
O01374,R009,preparing,2026-08-27T18:37:00
O00710,R024,ready,2026-08-23T13:55:00
O00073,R050,handed_off,2026-08-27T14:04:00
O00706,R035,ready,2026-08-22T17:41:00
O01046,R027,preparing,2026-08-05T23:51:00
O01259,R033,ready,2026-08-17T17:44:00
O00618,R047,handed_off,2026-08-26T20:19:00
O01311,R005,handed_off,2026-08-09T22:09:00
O01175,R019,preparing,2026-08-24T17:54:00
O01277,R048,preparing,2026-08-20T18:03:00
O00778,R059,preparing,2026-08-27T21:34:00
O01572,R033,preparing,2026-08-04T17:58:00
O01400,R032,ready,2026-08-04T18:10:00
O00801,R058,preparing,2026-08-03T16:55:00
O01136,R021,handed_off,2026-08-24T14:29:00
O00571,R038,handed_off,2026-08-10T22:11:00
O01145,R035,preparing,2026-08-02T21:00:00
O01099,R045,preparing,2026-08-22T18:50:00
O00212,R037,ready,2026-08-20T19:45:00
O01440,R055,handed_off,2026-08-20T14:12:00
O01275,R008,handed_off,2026-08-17T21:10:00
O00218,R058,preparing,2026-08-07T00:22:00
O00334,R030,preparing,2026-08-27T00:27:00
O00011,R048,preparing,2026-08-13T20:03:00
O00171,R008,ready,2026-08-17T18:47:00
O01236,R047,handed_off,2026-08-28T18:12:00
O01469,R019,handed_off,2026-08-17T18:29:00
O00232,R041,preparing,2026-08-18T18:59:00
O01218,R053,handed_off,2026-08-18T20:12:00
O00914,R019,preparing,2026-08-07T22:54:00
O00921,R046,ready,2026-08-09T21:40:00
O01185,R049,ready,2026-08-04T18:48:00
O00353,R040,ready,2026-08-23T16:11:00
O00638,R006,preparing,2026-08-04T19:56:00
O00764,R020,ready,2026-08-04T20:13:00
O00871,R024,preparing,2026-08-17T16:53:00
O00344,R033,handed_off,2026-08-03T19:56:00
O00942,R010,preparing,2026-08-21T22:37:00
O00622,R024,ready,2026-08-24T16:57:00
O00146,R015,handed_off,2026-08-08T00:18:00
O01575,R015,ready,2026-08-26T12:57:00
O00763,R001,handed_off,2026-08-18T19:26:00
O01574,R044,ready,2026-08-15T12:28:00
O00747,R007,handed_off,2026-08-27T17:24:00
O01594,R024,ready,2026-08-13T13:32:00
O00200,R002,handed_off,2026-08-22T18:57:00
O00089,R002,preparing,2026-08-24T23:47:00
O01543,R009,ready,2026-08-03T20:41:00
O01316,R027,preparing,2026-08-16T21:15:00
O01409,R058,handed_off,2026-08-16T17:21:00
O00688,R057,handed_off,2026-08-11T17:26:00
O01260,R040,ready,2026-08-11T14:50:00
O01095,R003,preparing,2026-08-10T19:50:00
O00325,R005,handed_off,2026-08-19T18:51:00
O00972,R051,preparing,2026-08-11T12:14:00
O00808,R032,ready,2026-08-01T17:29:00
O00039,R051,preparing,2026-08-11T22:01:00
O00432,R008,handed_off,2026-08-15T13:53:00
O00151,R026,handed_off,2026-08-08T18:21:00
O00220,R037,handed_off,2026-08-08T22:04:00
O01483,R060,ready,2026-08-11T21:48:00
O00345,R046,preparing,2026-08-16T19:14:00
O00065,R019,ready,2026-08-21T14:11:00
O00268,R042,preparing,2026-08-18T18:27:00
O00238,R018,handed_off,2026-08-27T16:11:00
O00588,R060,preparing,2026-08-16T19:36:00
O01189,R004,ready,2026-08-18T19:26:00
O00182,R055,ready,2026-08-23T19:42:00
O00368,R003,preparing,2026-08-17T00:04:00
O00450,R007,ready,2026-08-11T21:21:00
O00322,R052,preparing,2026-08-28T13:46:00
O00046,R048,handed_off,2026-08-05T20:35:00
O01294,R052,preparing,2026-08-26T12:25:00
O00814,R008,handed_off,2026-08-03T18:21:00
O01600,R037,preparing,2026-08-27T18:34:00
O00684,R002,ready,2026-08-23T22:38:00
O00674,R003,preparing,2026-08-23T21:28:00
O01308,R008,handed_off,2026-08-22T15:09:00
O01159,R003,preparing,2026-08-07T16:30:00
O01389,R056,ready,2026-08-26T19:11:00
O00028,R054,preparing,2026-08-04T20:48:00
O00247,R030,preparing,2026-08-17T12:03:00
O01567,R011,handed_off,2026-08-07T18:02:00
O01050,R058,handed_off,2026-08-25T17:16:00
O00829,R049,handed_off,2026-08-09T22:50:00
O01544,R010,ready,2026-08-11T18:03:00
O01362,R020,ready,2026-08-10T20:20:00
O01529,R045,preparing,2026-08-19T11:36:00
O01370,R047,ready,2026-08-26T18:20:00
O01096,R046,ready,2026-08-11T15:40:00
O01497,R041,handed_off,2026-08-01T11:22:00
O00051,R039,handed_off,2026-08-01T15:35:00
O01151,R007,ready,2026-08-20T19:54:00
O01573,R037,preparing,2026-08-01T20:01:00
O01164,R017,preparing,2026-08-28T19:10:00
O00993,R051,ready,2026-08-04T13:24:00
O00672,R053,ready,2026-08-12T18:07:00
O00872,R056,preparing,2026-08-18T18:43:00
O00413,R017,preparing,2026-08-14T17:47:00
O01171,R011,ready,2026-08-03T22:25:00
O00678,R017,handed_off,2026-08-28T14:07:00
O00224,R003,preparing,2026-08-03T18:19:00
O00112,R056,handed_off,2026-08-09T12:59:00
O00377,R020,ready,2026-08-28T18:08:00
O00998,R030,handed_off,2026-08-16T15:25:00
O01359,R033,handed_off,2026-08-05T21:08:00
O01081,R048,preparing,2026-08-13T17:29:00
O00278,R033,handed_off,2026-08-24T15:53:00
O00724,R054,preparing,2026-08-10T19:28:00
O00273,R053,ready,2026-08-14T19:21:00
O00936,R055,preparing,2026-08-25T20:38:00
O00845,R006,ready,2026-08-16T18:55:00
O01055,R013,handed_off,2026-08-28T12:07:00
O00768,R050,handed_off,2026-08-05T19:41:00
O01090,R016,handed_off,2026-08-03T18:05:00
O00140,R047,ready,2026-08-18T20:31:00
O00806,R023,preparing,2026-08-10T17:39:00
O00888,R056,preparing,2026-08-08T13:04:00
O01109,R046,preparing,2026-08-03T18:35:00
O00735,R041,handed_off,2026-08-23T18:37:00
O00555,R031,ready,2026-08-24T15:03:00
O00828,R038,handed_off,2026-08-18T20:14:00
O00101,R007,ready,2026-08-24T21:07:00
O01426,R054,handed_off,2026-08-27T19:03:00
O00756,R037,preparing,2026-08-11T11:20:00
O00781,R019,ready,2026-08-22T13:04:00
O01303,R050,preparing,2026-08-21T18:48:00
O01155,R025,ready,2026-08-25T21:18:00
O00561,R040,preparing,2026-08-18T22:18:00
O00798,R027,preparing,2026-08-20T19:57:00
O01578,R051,preparing,2026-08-13T20:54:00
O00103,R020,handed_off,2026-08-22T20:41:00
O01433,R011,handed_off,2026-08-02T20:38:00
O00031,R039,preparing,2026-08-09T20:19:00
O00487,R041,handed_off,2026-08-24T17:40:00
O00454,R036,handed_off,2026-08-19T22:00:00
O00505,R012,ready,2026-08-20T16:57:00
O00188,R009,ready,2026-08-09T19:57:00
O01338,R034,ready,2026-08-05T15:11:00
O01496,R002,ready,2026-08-03T23:05:00
O01035,R049,ready,2026-08-12T19:18:00
O00696,R058,preparing,2026-08-25T22:52:00
O01570,R042,handed_off,2026-08-23T13:16:00
O00494,R048,handed_off,2026-08-06T15:01:00
O00825,R021,ready,2026-08-08T20:08:00
O00901,R015,preparing,2026-08-28T18:01:00
O01115,R053,ready,2026-08-25T19:44:00
O00650,R032,handed_off,2026-08-17T17:04:00
O00780,R036,handed_off,2026-08-21T12:40:00
O00792,R007,preparing,2026-08-26T13:07:00
O00142,R022,preparing,2026-08-19T17:24:00
O00462,R014,preparing,2026-08-19T18:32:00
O00261,R051,ready,2026-08-18T23:04:00
O01536,R007,preparing,2026-08-06T13:37:00
O00762,R055,ready,2026-08-12T19:00:00
O01331,R033,handed_off,2026-08-28T23:43:00
O00063,R040,ready,2026-08-20T14:19:00
O00371,R007,preparing,2026-08-04T21:18:00
O01407,R003,ready,2026-08-02T12:26:00
O00228,R034,handed_off,2026-08-07T13:04:00
O01088,R023,handed_off,2026-08-09T19:56:00
O00359,R019,ready,2026-08-08T18:24:00
O01393,R029,preparing,2026-08-04T23:26:00
O00131,R055,ready,2026-08-28T19:47:00
O01468,R032,handed_off,2026-08-12T12:32:00
O00280,R015,preparing,2026-08-09T17:49:00
O00935,R060,preparing,2026-08-03T15:30:00
O01439,R006,ready,2026-08-03T12:10:00
O01286,R007,handed_off,2026-08-04T18:55:00
O00614,R026,handed_off,2026-08-12T22:38:00
O00867,R047,handed_off,2026-08-24T18:33:00
O01029,R044,handed_off,2026-08-01T20:01:00
O00897,R055,preparing,2026-08-18T21:46:00
O00201,R044,handed_off,2026-08-12T19:36:00
O00703,R044,preparing,2026-08-20T18:35:00
O00670,R010,ready,2026-08-13T19:53:00
O01178,R057,preparing,2026-08-27T22:20:00
O01385,R044,handed_off,2026-08-02T20:23:00
O01025,R019,preparing,2026-08-18T13:33:00
O00463,R043,handed_off,2026-08-05T20:33:00
O01556,R024,handed_off,2026-08-20T16:26:00
O00342,R024,ready,2026-08-19T13:18:00
O00160,R005,handed_off,2026-08-11T11:58:00
O01484,R032,ready ,2026-08-08T19:44:00
O00925,R057,preparing,2026-08-10T11:20:00
