interaction_id,order_id,interaction_type,interaction_at,channel,detail
CI-0071,O00563,SUPPORT_TICKET,2026-08-21T13:16:00,support,status_mismatch
CI-0072,O00564,SUPPORT_TICKET,2026-08-18T22:03:00,support,eta_changed
CI-0073,O00574,SUPPORT_TICKET,2026-08-10T22:32:00,support,driver_not_moving
CI-0074,O00575,SUPPORT_TICKET,2026-08-26T23:17:00,support,eta_changed
CI-0075,O00582,SUPPORT_TICKET,2026-08-13T13:38:00,support,ready_but_waiting
CI-0076,O00590,SUPPORT_TICKET,2026-08-03T16:32:00,support,ready_but_waiting
CI-0077,O00592,SUPPORT_TICKET,2026-08-01T19:58:00,support,ready_but_waiting
CI-0078,O00595,SUPPORT_TICKET,2026-08-24T23:03:00,support,late_delivery
CI-0079,O00598,SUPPORT_TICKET,2026-08-01T19:51:00,support,restaurant_delay
CI-0080,O00613,SUPPORT_TICKET,2026-08-01T19:34:00,support,status_mismatch
CI-0081,O00615,SUPPORT_TICKET,2026-08-16T20:05:00,support,restaurant_delay
CI-0082,O00616,SUPPORT_TICKET,2026-08-16T23:19:00,support,late_delivery
CI-0083,O00619,SUPPORT_TICKET,2026-08-24T19:56:00,support,status_mismatch
CI-0084,O00623,SUPPORT_TICKET,2026-08-20T23:37:00,support,eta_changed
CI-0085,O00631,SUPPORT_TICKET,2026-08-27T23:20:00,support,restaurant_delay
CI-0086,O00643,SUPPORT_TICKET,2026-08-06T23:33:00,support,driver_not_moving
CI-0087,O00651,SUPPORT_TICKET,2026-08-05T15:28:00,support,late_delivery
CI-0088,O00660,SUPPORT_TICKET,2026-08-18T19:10:00,support,restaurant_delay
CI-0089,O00666,SUPPORT_TICKET,2026-08-10T19:43:00,support,late_delivery
CI-0090,O00689,SUPPORT_TICKET,2026-08-06T14:06:00,support,ready_but_waiting
CI-0091,O00692,SUPPORT_TICKET,2026-08-22T18:11:00,support,restaurant_delay
CI-0092,O00698,SUPPORT_TICKET,2026-08-11T18:10:00,support,status_mismatch
CI-0093,O00699,SUPPORT_TICKET,2026-08-25T17:26:00,support,eta_changed
CI-0094,O00706,SUPPORT_TICKET,2026-08-22T18:07:00,support,late_delivery
CI-0095,O00714,SUPPORT_TICKET,2026-08-23T19:43:00,support,restaurant_delay
CI-0096,O00715,SUPPORT_TICKET,2026-08-04T19:45:00,support,status_mismatch
CI-0097,O00725,SUPPORT_TICKET,2026-08-11T15:29:00,support,late_delivery
CI-0098,O00736,SUPPORT_TICKET,2026-08-04T20:38:00,support,eta_changed
CI-0099,O00744,SUPPORT_TICKET,2026-08-17T20:01:00,support,eta_changed
CI-0100,O00747,SUPPORT_TICKET,2026-08-27T17:50:00,support,restaurant_delay
CI-0101,O00758,SUPPORT_TICKET,2026-08-27T11:56:00,support,eta_changed
CI-0102,O00762,SUPPORT_TICKET,2026-08-12T19:26:00,support,ready_but_waiting
CI-0103,O00793,SUPPORT_TICKET,2026-08-02T20:28:00,support,driver_not_moving
CI-0104,O00803,SUPPORT_TICKET,2026-08-28T13:51:00,support,status_mismatch
CI-0105,O00819,SUPPORT_TICKET,2026-08-12T19:25:00,support,late_delivery
CI-0106,O00822,SUPPORT_TICKET,2026-08-04T16:44:00,support,late_delivery
CI-0107,O00835,SUPPORT_TICKET,2026-08-14T13:02:00,support,ready_but_waiting
CI-0108,O00842,SUPPORT_TICKET,2026-08-26T13:25:00,support,eta_changed
CI-0109,O00845,SUPPORT_TICKET,2026-08-16T19:16:00,support,ready_but_waiting
CI-0110,O00854,SUPPORT_TICKET,2026-08-22T19:24:00,support,ready_but_waiting
CI-0111,O00862,SUPPORT_TICKET,2026-08-09T19:17:00,support,late_delivery
CI-0112,O00869,SUPPORT_TICKET,2026-08-09T21:36:00,support,driver_not_moving
CI-0113,O00883,SUPPORT_TICKET,2026-08-16T00:32:00,support,status_mismatch
CI-0114,O00924,SUPPORT_TICKET,2026-08-08T18:44:00,support,eta_changed
CI-0115,O00925,SUPPORT_TICKET,2026-08-10T17:47:00,support,ready_but_waiting
CI-0116,O00930,SUPPORT_TICKET,2026-08-15T19:04:00,support,status_mismatch
CI-0117,O00941,SUPPORT_TICKET,2026-08-09T19:53:00,support,restaurant_delay
CI-0118,O00955,SUPPORT_TICKET,2026-08-09T22:04:00,support,late_delivery
CI-0119,O00960,SUPPORT_TICKET,2026-08-19T13:58:00,support,eta_changed
CI-0120,O00977,SUPPORT_TICKET,2026-08-27T13:12:00,support,status_mismatch
CI-0121,O00983,SUPPORT_TICKET,2026-08-15T20:06:00,support,eta_changed
CI-0122,O00988,SUPPORT_TICKET,2026-08-04T13:49:00,support,late_delivery
CI-0123,O00991,SUPPORT_TICKET,2026-08-19T21:09:00,support,late_delivery
CI-0124,O00995,SUPPORT_TICKET,2026-08-22T18:27:00,support,driver_not_moving
CI-0125,O00997,SUPPORT_TICKET,2026-08-14T23:29:00,support,restaurant_delay
CI-0126,O01002,SUPPORT_TICKET,2026-08-03T19:06:00,support,eta_changed
CI-0127,O01020,SUPPORT_TICKET,2026-08-08T20:25:00,support,restaurant_delay
CI-0128,O01082,SUPPORT_TICKET,2026-08-14T17:09:00,support,eta_changed
CI-0129,O01094,SUPPORT_TICKET,2026-08-05T13:04:00,support,eta_changed
CI-0130,O01106,SUPPORT_TICKET,2026-08-23T19:14:00,support,driver_not_moving
CI-0131,O01142,SUPPORT_TICKET,2026-08-26T13:41:00,support,restaurant_delay
CI-0132,O01144,SUPPORT_TICKET,2026-08-26T22:27:00,support,driver_not_moving
CI-0133,O01152,SUPPORT_TICKET,2026-08-14T14:41:00,support,status_mismatch
CI-0134,O01153,SUPPORT_TICKET,2026-08-19T20:29:00,support,late_delivery
CI-0135,O01170,SUPPORT_TICKET,2026-08-05T20:55:00,support,restaurant_delay
CI-0136,O01183,SUPPORT_TICKET,2026-08-02T19:34:00,support,driver_not_moving
CI-0137,O01185,SUPPORT_TICKET,2026-08-04T18:57:00,support,restaurant_delay
CI-0138,O01191,SUPPORT_TICKET,2026-08-12T21:01:00,support,ready_but_waiting
CI-0139,O01197,SUPPORT_TICKET,2026-08-17T17:07:00,support,driver_not_moving
CI-0140,O01198,SUPPORT_TICKET,2026-08-25T18:30:00,support,ready_but_waiting
CI-0141,O01203,SUPPORT_TICKET,2026-08-19T16:58:00,support,driver_not_moving
CI-0142,O01209,SUPPORT_TICKET,2026-08-09T19:21:00,support,late_delivery
CI-0143,O01213,SUPPORT_TICKET,2026-08-03T13:14:00,support,driver_not_moving
CI-0144,O01214,SUPPORT_TICKET,2026-08-26T13:14:00,support,eta_changed
CI-0145,O01215,SUPPORT_TICKET,2026-08-26T22:34:00,support,driver_not_moving
CI-0146,O01230,SUPPORT_TICKET,2026-08-17T18:33:00,support,status_mismatch
CI-0147,O01233,SUPPORT_TICKET,2026-08-05T19:27:00,support,late_delivery
CI-0148,O01235,SUPPORT_TICKET,2026-08-28T13:41:00,support,eta_changed
CI-0149,O01245,SUPPORT_TICKET,2026-08-05T21:02:00,support,status_mismatch
CI-0150,O01267,SUPPORT_TICKET,2026-08-13T23:12:00,support,restaurant_delay
CI-0151,O01268,SUPPORT_TICKET,2026-08-06T19:15:00,support,ready_but_waiting
CI-0152,O01270,SUPPORT_TICKET,2026-08-21T12:41:00,support,eta_changed
CI-0153,O01278,SUPPORT_TICKET,2026-08-25T22:03:00,support,ready_but_waiting
CI-0154,O01281,SUPPORT_TICKET,2026-08-21T13:08:00,support,late_delivery
CI-0155,O01291,SUPPORT_TICKET,2026-08-01T11:39:00,support,ready_but_waiting
CI-0156,O01296,SUPPORT_TICKET,2026-08-12T21:00:00,support,eta_changed
CI-0157,O01300,SUPPORT_TICKET,2026-08-20T18:30:00,support,driver_not_moving
CI-0158,O01306,SUPPORT_TICKET,2026-08-22T21:25:00,support,ready_but_waiting
CI-0159,O01314,SUPPORT_TICKET,2026-08-03T17:40:00,support,status_mismatch
CI-0160,O01317,SUPPORT_TICKET,2026-08-05T22:49:00,support,restaurant_delay
CI-0161,O01323,SUPPORT_TICKET,2026-08-10T12:45:00,support,ready_but_waiting
CI-0162,O01325,SUPPORT_TICKET,2026-08-24T22:53:00,support,driver_not_moving
CI-0163,O01327,SUPPORT_TICKET,2026-08-18T23:18:00,support,status_mismatch
CI-0164,O01328,SUPPORT_TICKET,2026-08-08T19:36:00,support,status_mismatch
CI-0165,O01349,SUPPORT_TICKET,2026-08-16T19:43:00,support,restaurant_delay
CI-0166,O01358,SUPPORT_TICKET,2026-08-08T20:53:00,support,ready_but_waiting
CI-0167,O01362,SUPPORT_TICKET,2026-08-10T20:47:00,support,late_delivery
CI-0168,O01365,SUPPORT_TICKET,2026-08-17T18:17:00,support,restaurant_delay
CI-0169,O01380,SUPPORT_TICKET,2026-08-15T19:00:00,support,eta_changed
CI-0170,O01390,SUPPORT_TICKET,2026-08-15T19:38:00,support,driver_not_moving
CI-0171,O01400,SUPPORT_TICKET,2026-08-04T18:02:00,support,eta_changed
CI-0172,O01413,SUPPORT_TICKET,2026-08-23T20:55:00,support,late_delivery
CI-0173,O01422,SUPPORT_TICKET,2026-08-25T23:55:00,support,ready_but_waiting
CI-0174,O01424,SUPPORT_TICKET,2026-08-26T19:59:00,support,restaurant_delay
CI-0175,O01429,SUPPORT_TICKET,2026-08-15T23:37:00,support,eta_changed
CI-0176,O01430,SUPPORT_TICKET,2026-08-08T18:54:00,support,driver_not_moving
CI-0177,O01433,SUPPORT_TICKET,2026-08-02T20:39:00,support,status_mismatch
CI-0178,O01453,SUPPORT_TICKET,2026-08-15T21:04:00,support,driver_not_moving
CI-0179,O01454,SUPPORT_TICKET,2026-08-09T13:21:00,support,driver_not_moving
CI-0180,O01455,SUPPORT_TICKET,2026-08-16T19:11:00,support,ready_but_waiting
CI-0178,O01528,ORDER_STATUS_REFRESH,2026-08-08T17:44:00,customer_app,
CI-0179,O00618,ETA_VIEW,2026-08-26T20:24:00,customer_app,
CI-0180,O00949,HELP_OPENED,2026-08-17T12:12:00,customer_app,
CI-0181,O00059,ETA_VIEW,2026-08-09T18:36:00,customer_app,
CI-0182,O01353,ORDER_STATUS_REFRESH,2026-08-14T17:04:00,customer_app,
CI-0183,O01151,ORDER_STATUS_REFRESH,2026-08-20T20:33:00,customer_app,
CI-0184,O00761,ETA_VIEW,2026-08-23T20:10:00,customer_app,
CI-0185,O01078,ORDER_STATUS_REFRESH,2026-08-25T21:42:00,customer_app,
CI-0186,O00352,ETA_VIEW,2026-08-16T19:52:00,customer_app,
CI-0187,O00772,ETA_VIEW,2026-08-10T19:20:00,customer_app,
CI-0188,O01050,ETA_VIEW,2026-08-25T17:46:00,customer_app,
CI-0189,O00801,ETA_VIEW,2026-08-03T17:15:00,customer_app,
CI-0190,O00433,ETA_VIEW,2026-08-04T19:47:00,customer_app,
CI-0191,O00987,ORDER_STATUS_REFRESH,2026-08-17T23:24:00,customer_app,
CI-0192,O00889,HELP_OPENED,2026-08-13T20:47:00,customer_app,
CI-0193,O00072,ORDER_STATUS_REFRESH,2026-08-15T22:37:00,customer_app,
CI-0194,O01415,ETA_VIEW,2026-08-08T15:12:00,customer_app,
CI-0195,O00168,ETA_VIEW,2026-08-12T19:12:00,customer_app,
CI-0196,O01395,ETA_VIEW,2026-08-21T16:05:00,customer_app,
CI-0197,O00818,ETA_VIEW,2026-08-10T19:03:00,customer_app,
CI-0198,O01280,HELP_OPENED,2026-08-22T21:15:00,customer_app,
CI-0199,O00416,ETA_VIEW,2026-08-24T00:05:00,customer_app,
CI-0200,O00205,ORDER_STATUS_REFRESH,2026-08-27T21:39:00,customer_app,
CI-0201,O01110,ETA_VIEW,2026-08-24T19:37:00,customer_app,
CI-0202,O00186,ETA_VIEW,2026-08-07T21:27:00,customer_app,
CI-0203,O00501,HELP_OPENED,2026-08-22T19:30:00,customer_app,
CI-0204,O01064,HELP_OPENED,2026-08-09T15:35:00,customer_app,
CI-0205,O00312,ETA_VIEW,2026-08-22T23:21:00,customer_app,
CI-0206,O00341,ORDER_STATUS_REFRESH,2026-08-24T14:20:00,customer_app,
CI-0207,O00238,HELP_OPENED,2026-08-27T16:35:00,customer_app,
CI-0208,O00621,ORDER_STATUS_REFRESH,2026-08-17T23:08:00,customer_app,
CI-0209,O00415,ETA_VIEW,2026-08-04T12:16:00,customer_app,
CI-0210,O00857,ETA_VIEW,2026-08-23T18:50:00,customer_app,
CI-0211,O00826,ETA_VIEW,2026-08-12T18:56:00,customer_app,
CI-0212,O01332,ORDER_STATUS_REFRESH,2026-08-01T19:48:00,customer_app,
CI-0213,O00413,ORDER_STATUS_REFRESH,2026-08-14T17:53:00,customer_app,
CI-0214,O01283,ORDER_STATUS_REFRESH,2026-08-07T22:07:00,customer_app,
CI-0215,O01106,ORDER_STATUS_REFRESH,2026-08-23T19:15:00,customer_app,
CI-0216,O00408,HELP_OPENED,2026-08-04T21:10:00,customer_app,
CI-0217,O00814,ETA_VIEW,2026-08-03T18:27:00,customer_app,
CI-0218,O01352,HELP_OPENED,2026-08-07T13:29:00,customer_app,
CI-0219,O00817,ETA_VIEW,2026-08-06T17:35:00,customer_app,
CI-0220,O01453,ETA_VIEW,2026-08-15T21:15:00,customer_app,
CI-0221,O00472,HELP_OPENED,2026-08-08T19:39:00,customer_app,
CI-0222,O01188,ETA_VIEW,2026-08-08T14:30:00,customer_app,
CI-0223,O01554,ETA_VIEW,2026-08-03T22:02:00,customer_app,
CI-0224,O01204,ETA_VIEW,2026-08-20T19:17:00,customer_app,
CI-0225,O00610,ETA_VIEW,2026-08-07T12:42:00,customer_app,
CI-0226,O00798,ETA_VIEW,2026-08-20T19:40:00,customer_app,
CI-0227,O01377,ETA_VIEW,2026-08-13T20:59:00,customer_app,
CI-0228,O00684,ETA_VIEW,2026-08-23T22:23:00,customer_app,
CI-0229,O01138,HELP_OPENED,2026-08-15T21:37:00,customer_app,
CI-0230,O00342,ORDER_STATUS_REFRESH,2026-08-19T13:29:00,customer_app,
CI-0231,O01480,HELP_OPENED,2026-08-04T16:10:00,customer_app,
CI-0232,O00685,ORDER_STATUS_REFRESH,2026-08-10T12:46:00,customer_app,
CI-0233,O01506,ORDER_STATUS_REFRESH,2026-08-27T16:52:00,customer_app,
CI-0234,O00375,ORDER_STATUS_REFRESH,2026-08-07T23:23:00,customer_app,
CI-0235,O00427,ORDER_STATUS_REFRESH,2026-08-17T19:45:00,customer_app,
CI-0236,O00013,ETA_VIEW,2026-08-23T19:56:00,customer_app,
CI-0237,O01154,ETA_VIEW,2026-08-06T21:20:00,customer_app,
CI-0238,O00180,HELP_OPENED,2026-08-08T18:48:00,customer_app,
CI-0239,O00799,ORDER_STATUS_REFRESH,2026-08-09T14:05:00,customer_app,
CI-0240,O00838,ORDER_STATUS_REFRESH,2026-08-01T18:34:00,customer_app,
CI-0241,O01369,ORDER_STATUS_REFRESH,2026-08-24T15:02:00,customer_app,
CI-0242,O00061,ORDER_STATUS_REFRESH,2026-08-03T22:06:00,customer_app,
CI-0243,O01227,ETA_VIEW,2026-08-18T20:02:00,customer_app,
CI-0244,O00044,ETA_VIEW,2026-08-08T20:04:00,customer_app,
CI-0245,O01501,HELP_OPENED,2026-08-25T17:46:00,customer_app,
CI-0246,O00096,ORDER_STATUS_REFRESH,2026-08-28T22:25:00,customer_app,
CI-0247,O01016,ORDER_STATUS_REFRESH,2026-08-17T14:09:00,customer_app,
CI-0248,O00846,ETA_VIEW,2026-08-18T18:47:00,customer_app,
CI-0249,O00345,ETA_VIEW,2026-08-16T19:41:00,customer_app,
CI-0250,O01023,HELP_OPENED,2026-08-04T19:53:00,customer_app,
CI-0251,O00674,ORDER_STATUS_REFRESH,2026-08-23T21:32:00,customer_app,
CI-0252,O00147,ORDER_STATUS_REFRESH,2026-08-25T14:55:00,customer_app,
CI-0253,O00377,ETA_VIEW,2026-08-28T18:00:00,customer_app,
CI-0254,O00288,ETA_VIEW,2026-08-09T20:17:00,customer_app,
CI-0255,O00349,ORDER_STATUS_REFRESH,2026-08-02T15:16:00,customer_app,
CI-0256,O00142,ORDER_STATUS_REFRESH,2026-08-19T17:48:00,customer_app,
CI-0257,O00957,ORDER_STATUS_REFRESH,2026-08-04T21:46:00,customer_app,
CI-0258,O00669,ORDER_STATUS_REFRESH,2026-08-03T22:59:00,customer_app,
CI-0259,O00201,ETA_VIEW,2026-08-12T19:55:00,customer_app,
CI-0260,O00010,ETA_VIEW,2026-08-22T13:36:00,customer_app,
CI-0261,O00502,ORDER_STATUS_REFRESH,2026-08-21T20:34:00,customer_app,
CI-0262,O00052,ETA_VIEW,2026-08-24T17:50:00,customer_app,
CI-0263,O00514,ORDER_STATUS_REFRESH,2026-08-10T11:58:00,customer_app,
CI-0264,O01558,ETA_VIEW,2026-08-20T19:34:00,customer_app,
CI-0265,O00128,ORDER_STATUS_REFRESH,2026-08-20T13:41:00,customer_app,
CI-0266,O00038,ORDER_STATUS_REFRESH,2026-08-08T21:41:00,customer_app,
CI-0267,O01073,ORDER_STATUS_REFRESH,2026-08-07T21:43:00,customer_app,
CI-0268,O00831,ETA_VIEW,2026-08-25T18:28:00,customer_app,
CI-0269,O00557,ETA_VIEW,2026-08-19T19:15:00,customer_app,
CI-0270,O01565,HELP_OPENED,2026-08-21T21:40:00,customer_app,
CI-0271,O00112,ETA_VIEW,2026-08-09T12:57:00,customer_app,
CI-0272,O01529,ORDER_STATUS_REFRESH,2026-08-19T11:57:00,customer_app,
CI-0273,O01390,ETA_VIEW,2026-08-15T19:26:00,customer_app,
CI-0274,O00973,ETA_VIEW,2026-08-04T19:55:00,customer_app,
CI-0275,O00005,ORDER_STATUS_REFRESH,2026-08-06T21:08:00,customer_app,
CI-0276,O01371,ORDER_STATUS_REFRESH,2026-08-04T17:52:00,customer_app,
CI-0277,O01491,ETA_VIEW,2026-08-13T18:31:00,customer_app,
CI-0278,O00493,ETA_VIEW,2026-08-01T12:58:00,customer_app,
CI-0279,O01284,ORDER_STATUS_REFRESH,2026-08-12T21:00:00,customer_app,
CI-0280,O01389,ORDER_STATUS_REFRESH,2026-08-26T19:15:00,customer_app,
CI-0281,O00636,ETA_VIEW,2026-08-12T18:30:00,customer_app,
CI-0282,O00100,ORDER_STATUS_REFRESH,2026-08-18T23:23:00,customer_app,
CI-0283,O00732,ETA_VIEW,2026-08-19T20:31:00,customer_app,
CI-0284,O01534,ETA_VIEW,2026-08-13T18:33:00,customer_app,
CI-0285,O00102,ETA_VIEW,2026-08-11T16:48:00,customer_app,
CI-0286,O00883,ETA_VIEW,2026-08-15T23:54:00,customer_app,
CI-0287,O00937,HELP_OPENED,2026-08-28T23:56:00,customer_app,
CI-0288,O01379,ETA_VIEW,2026-08-12T23:00:00,customer_app,
CI-0289,O01197,ORDER_STATUS_REFRESH,2026-08-17T16:55:00,customer_app,
CI-0290,O00489,ORDER_STATUS_REFRESH,2026-08-19T13:21:00,customer_app,
CI-0291,O01351,ETA_VIEW,2026-08-16T20:46:00,customer_app,
CI-0292,O01445,ORDER_STATUS_REFRESH,2026-08-09T19:11:00,customer_app,
CI-0293,O01580,ETA_VIEW,2026-08-09T19:55:00,customer_app,
CI-0294,O01141,ORDER_STATUS_REFRESH,2026-08-16T19:39:00,customer_app,
CI-0295,O01435,ORDER_STATUS_REFRESH,2026-08-05T20:32:00,customer_app,
CI-0296,O00758,HELP_OPENED,2026-08-27T12:04:00,customer_app,
CI-0297,O00117,ETA_VIEW,2026-08-18T20:14:00,customer_app,
CI-0298,O00736,ETA_VIEW,2026-08-04T20:17:00,customer_app,
CI-0299,O00667,ETA_VIEW,2026-08-27T22:44:00,customer_app,
CI-0300,O01543,ORDER_STATUS_REFRESH,2026-08-03T20:31:00,customer_app,
CI-0301,O01124,HELP_OPENED,2026-08-19T13:09:00,customer_app,
CI-0302,O00993,ORDER_STATUS_REFRESH,2026-08-04T13:39:00,customer_app,
CI-0303,O00682,ETA_VIEW,2026-08-11T19:42:00,customer_app,
CI-0304,O00141,HELP_OPENED,2026-08-27T13:37:00,customer_app,
CI-0305,O00807,ORDER_STATUS_REFRESH,2026-08-16T21:19:00,customer_app,
CI-0306,O00211,ORDER_STATUS_REFRESH,2026-08-22T20:03:00,customer_app,
CI-0307,O00114,ORDER_STATUS_REFRESH,2026-08-03T19:34:00,customer_app,
CI-0308,O01439,ETA_VIEW,2026-08-03T11:51:00,customer_app,
CI-0309,O00064,ETA_VIEW,2026-08-09T19:49:00,customer_app,
CI-0310,O01200,ORDER_STATUS_REFRESH,2026-08-13T22:56:00,customer_app,
CI-0311,O01461,HELP_OPENED,2026-08-13T20:12:00,customer_app,
CI-0312,O00379,ETA_VIEW,2026-08-26T20:35:00,customer_app,
CI-0313,O01166,ORDER_STATUS_REFRESH,2026-08-17T18:51:00,customer_app,
CI-0314,O01071,ETA_VIEW,2026-08-23T22:59:00,customer_app,
CI-0315,O00118,ETA_VIEW,2026-08-27T21:58:00,customer_app,
CI-0316,O01029,ETA_VIEW,2026-08-01T20:25:00,customer_app,
CI-0317,O00738,HELP_OPENED,2026-08-09T14:05:00,customer_app,
CI-0318,O00499,ETA_VIEW,2026-08-26T20:49:00,customer_app,
CI-0319,O00173,ETA_VIEW,2026-08-06T20:51:00,customer_app,
CI-0320,O00659,ETA_VIEW,2026-08-27T19:55:00,customer_app,
CI-0321,O00896,ORDER_STATUS_REFRESH,2026-08-14T12:28:00,customer_app,
CI-0322,O01209,ETA_VIEW,2026-08-09T19:13:00,customer_app,
CI-0323,O00351,ETA_VIEW,2026-08-16T20:49:00,customer_app,
CI-0324,O00028,ETA_VIEW,2026-08-04T20:36:00,customer_app,
CI-0325,O01569,ETA_VIEW,2026-08-01T11:42:00,customer_app,
CI-0326,O00393,ORDER_STATUS_REFRESH,2026-08-07T23:39:00,customer_app,
CI-0327,O00780,HELP_OPENED,2026-08-21T12:29:00,customer_app,
