station_id,station_name,capacity,dominant_pressure,active_days,days_needing_rebalance,pct_days_needing_rebalance,required_moves,required_moves_per_day,avg_daily_net_flow,worst_weekday_hour,observed_empty_pct,observed_full_pct,lat,lon
CHI01666,LaSalle St & Calhoun Pl ,15,fill,91,14.0,15.4,46.0,0.5,1.8,8,0.0,0.0,41.882664,-87.63253
CHI02072,Wells St & Washington St,11,fill,91,20.0,22.0,46.0,0.5,0.8,17,0.0,0.0,41.883,-87.63396
CHI00575,Larrabee St & Division St,15,drain,91,15.0,16.5,35.0,0.4,-1.1,8,0.0,0.0,41.90348607004,-87.6433534936
CHI00542,Central Park Blvd & 5th Ave,11,fill,46,1.0,2.2,32.0,0.7,0.5,3,0.0,0.0,41.875679,-87.71547
CHI02033,Wentworth Ave & 35th St,15,fill,91,5.0,5.5,29.0,0.3,-2.2,21,0.0,0.0,41.830777,-87.632504
CHI00451,LaSalle St & Adams St,15,fill,91,12.0,13.2,29.0,0.3,2.7,7,100.0,0.0,41.87934437346,-87.6319852213
CHI02081,Green St & Lake St ,11,fill,91,10.0,11.0,24.0,0.3,0.2,7,0.0,0.0,41.88558,-87.64841
CHI00299,Kingsbury St & Kinzie St 1,27,fill,91,5.0,5.5,23.0,0.3,-2.5,17,0.0,0.0,41.88907,-87.63835
CHI00447,LaSalle St & Jackson Blvd,35,fill,91,8.0,8.8,23.0,0.3,5.4,7,,,41.878166,-87.631929
CHI02095,Green St & Chicago Ave,11,drain,87,10.0,11.5,20.0,0.2,-1.1,6,0.0,0.0,41.893392,-87.650737
CHI00238,Loomis St & Lexington St,20,drain,91,6.0,6.6,18.0,0.2,-1.2,8,0.0,0.0,41.87222873224032,-87.66136385500431
CHI00260,Wells St & Walton St,19,drain,91,5.0,5.5,18.0,0.2,-1.5,7,0.0,0.0,41.89993001,-87.63443007
CHI02169,Larrabee St & Kingsbury St 2,27,fill,91,6.0,6.6,18.0,0.2,-2.7,7,0.0,0.0,41.89758,-87.6429
CHI01928,Wells St & Institute Pl,11,drain,91,8.0,8.8,18.0,0.2,0.1,6,0.0,0.0,41.89737986072316,-87.63442039489746
CHI01076,Dearborn St & Van Buren St,15,drain,91,5.0,5.5,15.0,0.2,-3.6,17,0.0,0.0,41.876268,-87.629155
CHI02142,Franklin St & Madison St,11,drain,91,3.0,3.3,14.0,0.2,-1.6,7,100.0,0.0,41.88139,-87.63542
CHI00462,Clark St & Schiller St,19,drain,91,5.0,5.5,14.0,0.2,-2.0,7,0.0,100.0,41.907993,-87.631501
CHI01837,Lincoln Ave & Roscoe St,16,drain,91,3.0,3.3,13.0,0.1,-0.2,7,0.0,0.0,41.9433502470174,-87.67066776752472
CHI02175,Dearborn St & Adams St 2,18,fill,91,3.0,3.3,13.0,0.1,1.3,8,100.0,0.0,41.87963,-87.62937
